,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.056,0.0,0.0,0.056,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.167,0.111,0.0,0.111,0.0,0.056,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.154,0.0,0.0,0.103,0.0,0.0,0.026,0.0,0.051,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.051,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.051,0.0,0.026,0.026,0.103,0.0,0.0,0.026,0.0,0.026,0.026,0.0,0.0,0.051,0.0,0.0,0.026,0.026,0.0,0.103,0.026,0.0,0.0,0.051,0.0,0.0
1940-1949,0.13,0.028,0.0,0.034,0.0,0.0,0.096,0.017,0.045,0.023,0.006,0.0,0.04,0.028,0.011,0.0,0.017,0.011,0.017,0.011,0.028,0.023,0.0,0.011,0.006,0.028,0.0,0.017,0.107,0.0,0.017,0.011,0.006,0.006,0.017,0.0,0.0,0.073,0.006,0.04,0.0,0.0,0.017,0.028,0.011,0.0,0.0,0.023,0.011,0.0
1950-1959,0.108,0.034,0.0,0.023,0.0,0.0,0.085,0.011,0.028,0.04,0.0,0.0,0.034,0.028,0.0,0.0,0.04,0.017,0.011,0.011,0.057,0.017,0.0,0.0,0.011,0.011,0.0,0.045,0.062,0.006,0.034,0.017,0.011,0.011,0.023,0.011,0.034,0.057,0.0,0.04,0.0,0.0,0.0,0.023,0.028,0.0,0.0,0.011,0.011,0.006
1960-1969,0.034,0.045,0.0,0.048,0.0,0.0,0.07,0.023,0.069,0.005,0.0,0.0,0.019,0.025,0.023,0.018,0.033,0.003,0.023,0.025,0.014,0.015,0.0,0.018,0.019,0.033,0.013,0.039,0.031,0.006,0.046,0.019,0.025,0.019,0.064,0.024,0.033,0.031,0.005,0.033,0.003,0.009,0.013,0.011,0.005,0.0,0.0,0.005,0.004,0.0
1970-1979,0.005,0.044,0.0,0.065,0.0,0.0,0.066,0.022,0.066,0.003,0.0,0.0,0.039,0.041,0.015,0.023,0.037,0.005,0.02,0.023,0.005,0.02,0.0,0.019,0.026,0.03,0.016,0.034,0.028,0.006,0.046,0.016,0.037,0.023,0.05,0.028,0.042,0.019,0.019,0.023,0.006,0.013,0.01,0.004,0.001,0.0,0.0,0.004,0.002,0.0
1980-1989,0.005,0.067,0.0,0.079,0.0,0.0,0.065,0.036,0.064,0.001,0.0,0.0,0.043,0.038,0.022,0.021,0.04,0.002,0.032,0.039,0.004,0.026,0.0,0.04,0.022,0.028,0.019,0.023,0.02,0.001,0.04,0.012,0.037,0.017,0.023,0.026,0.018,0.013,0.021,0.02,0.005,0.009,0.013,0.003,0.002,0.0,0.0,0.0,0.006,0.0
1990-1999,0.001,0.105,0.0,0.089,0.0,0.0,0.045,0.051,0.045,0.001,0.0,0.0,0.041,0.044,0.032,0.017,0.041,0.0,0.032,0.033,0.001,0.03,0.0,0.041,0.034,0.026,0.023,0.028,0.026,0.008,0.022,0.011,0.022,0.034,0.017,0.027,0.011,0.009,0.01,0.015,0.005,0.012,0.005,0.004,0.001,0.0,0.0,0.001,0.004,0.0
2000-2009,0.0,0.145,0.0,0.073,0.0,0.0,0.045,0.084,0.034,0.0,0.0,0.0,0.04,0.036,0.04,0.011,0.025,0.001,0.043,0.034,0.0,0.024,0.0,0.04,0.055,0.028,0.045,0.02,0.012,0.004,0.016,0.008,0.021,0.022,0.013,0.011,0.007,0.006,0.024,0.015,0.001,0.009,0.004,0.003,0.0,0.0,0.0,0.0,0.003,0.0
2010-2019,0.0,0.168,0.0,0.071,0.0,0.0,0.035,0.106,0.031,0.0,0.0,0.0,0.033,0.031,0.051,0.005,0.027,0.0,0.046,0.024,0.001,0.058,0.0,0.027,0.047,0.022,0.059,0.013,0.012,0.006,0.011,0.003,0.022,0.017,0.013,0.003,0.007,0.006,0.019,0.01,0.001,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.001,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.045,0.058,0.0,0.058,0.0,0.0,0.064,0.05,0.058,0.007,0.001,0.0,0.029,0.03,0.036,0.009,0.028,0.003,0.02,0.023,0.012,0.019,0.0,0.018,0.025,0.024,0.018,0.038,0.065,0.003,0.031,0.011,0.022,0.016,0.027,0.012,0.014,0.024,0.028,0.018,0.004,0.008,0.006,0.021,0.007,0.0,0.0,0.009,0.004,0.001
