,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1920-1929,0.487,0.0,0.0,0.0,0.001,0.057,0.0,0.0,0.0,0.074,0.065,0.103,0.0,0.0,0.0,0.014,0.0,0.043,0.0,0.003,0.039,0.0,0.115,0.0
1930-1939,0.42,0.0,0.0,0.0,0.001,0.065,0.0,0.0,0.0,0.101,0.088,0.113,0.0,0.0,0.0,0.011,0.0,0.049,0.0,0.005,0.047,0.0,0.101,0.0
1940-1949,0.449,0.0,0.0,0.0,0.001,0.079,0.0,0.0,0.0,0.09,0.103,0.063,0.0,0.0,0.0,0.013,0.0,0.062,0.0,0.005,0.052,0.0,0.083,0.0
1950-1959,0.344,0.0,0.0,0.0,0.001,0.116,0.0,0.0,0.0,0.128,0.077,0.065,0.0,0.0,0.0,0.028,0.0,0.092,0.0,0.004,0.07,0.0,0.074,0.0
1960-1969,0.281,0.0,0.0,0.0,0.001,0.1,0.0,0.0,0.0,0.131,0.102,0.053,0.0,0.0,0.0,0.073,0.0,0.104,0.0,0.004,0.088,0.0,0.062,0.0
1970-1979,0.266,0.0,0.0,0.0,0.002,0.077,0.0,0.0,0.0,0.132,0.138,0.041,0.0,0.0,0.0,0.075,0.0,0.103,0.0,0.005,0.108,0.0,0.054,0.0
1980-1989,0.245,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.114,0.181,0.03,0.0,0.0,0.0,0.132,0.0,0.118,0.0,0.005,0.076,0.0,0.039,0.0
1990-1999,0.156,0.0,0.0,0.0,0.003,0.056,0.0,0.0,0.0,0.097,0.128,0.031,0.0,0.0,0.0,0.168,0.0,0.159,0.0,0.006,0.146,0.0,0.05,0.0
2000-2009,0.157,0.0,0.0,0.0,0.005,0.071,0.0,0.0,0.0,0.081,0.131,0.066,0.0,0.0,0.0,0.141,0.0,0.162,0.0,0.015,0.131,0.0,0.04,0.0
2010-2019,0.276,0.0,0.0,0.0,0.0,0.069,0.0,0.0,0.0,0.092,0.184,0.057,0.0,0.0,0.0,0.08,0.0,0.103,0.0,0.011,0.08,0.0,0.046,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.28,0.0,0.0,0.0,0.001,0.068,0.0,0.0,0.0,0.095,0.109,0.057,0.0,0.0,0.0,0.067,0.0,0.181,0.0,0.006,0.076,0.0,0.06,0.0
