,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
1920-1929,0.5,0.0,0.0,0.0,0.0,0.042,0.0,0.0,0.0,0.083,0.052,0.094,0.0,0.0,0.0,0.01,0.0,0.021,0.0,0.0,0.031,0.0,0.167,0.0
1930-1939,0.454,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.102,0.102,0.077,0.0,0.0,0.0,0.026,0.0,0.036,0.0,0.01,0.051,0.0,0.102,0.0
1940-1949,0.427,0.0,0.0,0.0,0.004,0.1,0.0,0.0,0.0,0.071,0.083,0.083,0.0,0.0,0.0,0.004,0.0,0.033,0.0,0.021,0.095,0.0,0.079,0.0
1950-1959,0.328,0.0,0.0,0.0,0.0,0.136,0.0,0.0,0.0,0.132,0.084,0.076,0.0,0.0,0.0,0.036,0.0,0.08,0.0,0.0,0.064,0.0,0.064,0.0
1960-1969,0.297,0.0,0.0,0.0,0.0,0.085,0.0,0.0,0.0,0.128,0.105,0.044,0.0,0.0,0.0,0.064,0.0,0.099,0.0,0.006,0.093,0.0,0.079,0.0
1970-1979,0.267,0.0,0.0,0.0,0.0,0.084,0.0,0.0,0.0,0.129,0.107,0.04,0.0,0.0,0.0,0.089,0.0,0.08,0.0,0.004,0.164,0.0,0.036,0.0
1980-1989,0.214,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.09,0.138,0.021,0.0,0.0,0.0,0.159,0.0,0.124,0.0,0.007,0.09,0.0,0.048,0.0
1990-1999,0.214,0.0,0.0,0.0,0.0,0.054,0.0,0.0,0.0,0.071,0.196,0.071,0.0,0.0,0.0,0.143,0.0,0.107,0.0,0.0,0.089,0.0,0.054,0.0
2000-2009,0.31,0.0,0.0,0.0,0.0,0.071,0.0,0.0,0.0,0.095,0.048,0.048,0.0,0.0,0.0,0.19,0.0,0.048,0.0,0.048,0.143,0.0,0.0,0.0
2010-2019,0.429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.143,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.344,0.0,0.0,0.0,0.0,0.072,0.0,0.0,0.0,0.09,0.12,0.055,0.0,0.0,0.0,0.072,0.0,0.077,0.0,0.01,0.096,0.0,0.063,0.0
