,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,48,0,0,0,0,4,0,0,0,8,5,9,0,0,0,1,0,2,0,0,3,0,16,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,2,0,3,0,0,0
1930-1939,89,0,0,0,0,8,0,0,0,20,20,15,0,0,0,5,0,7,0,2,10,0,20,0,0,0,0,0,0,5,0,2,0,0,0,0,3,6,0,0,3,0,0,0,1,3,1,1,0,0
1940-1949,103,0,0,0,1,24,0,0,0,17,20,20,0,0,0,1,0,8,0,5,23,0,19,0,0,0,0,0,0,2,0,3,0,0,0,0,1,1,0,0,3,0,0,1,1,0,2,1,0,0
1950-1959,82,0,0,0,0,34,0,0,0,33,21,19,0,0,0,9,0,20,0,0,16,0,16,0,0,0,0,0,0,4,0,6,0,0,0,0,1,4,0,0,3,0,2,1,7,1,3,1,0,0
1960-1969,102,0,0,0,0,29,0,0,0,44,36,15,0,0,0,22,0,34,0,2,32,0,27,0,0,0,0,0,0,30,0,7,0,0,0,0,8,6,0,0,5,0,0,1,7,9,4,4,0,0
1970-1979,60,0,0,0,0,19,0,0,0,29,24,9,0,0,0,20,0,18,0,1,37,0,8,0,0,0,0,0,0,29,0,5,0,0,0,0,4,4,0,0,8,0,0,4,10,3,1,3,0,0
1980-1989,31,0,0,0,0,16,0,0,0,13,20,3,0,0,0,23,0,18,0,1,13,0,7,0,0,0,0,0,0,10,0,8,0,0,0,0,8,5,0,0,2,0,1,3,5,2,1,1,0,1
1990-1999,12,0,0,0,0,3,0,0,0,4,11,4,0,0,0,8,0,6,0,0,5,0,3,0,0,0,0,0,0,11,0,3,0,0,0,0,1,4,0,0,2,0,0,0,2,1,1,0,0,1
2000-2009,13,0,0,0,0,3,0,0,0,4,2,2,0,0,0,8,0,2,0,2,6,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,1,0,0
2010-2019,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,543,0,0,0,1,140,0,0,0,172,161,96,0,0,0,97,0,116,0,13,146,0,116,0,0,0,0,0,0,95,0,38,0,0,0,0,27,35,0,0,30,0,4,10,36,19,16,12,0,2
