,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.418,0.0,0.0,0.0,0.002,0.059,0.0,0.0,0.0,0.059,0.06,0.096,0.0,0.0,0.0,0.013,0.0,0.042,0.0,0.002,0.042,0.0,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.013,0.0,0.0,0.002,0.015,0.01,0.002,0.003,0.0,0.001
1930-1939,0.365,0.0,0.0,0.0,0.001,0.057,0.0,0.0,0.0,0.089,0.082,0.113,0.0,0.0,0.0,0.01,0.0,0.054,0.0,0.004,0.045,0.0,0.087,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.023,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.0,0.013,0.0,0.0,0.008,0.012,0.014,0.007,0.0,0.0,0.0
1940-1949,0.403,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.077,0.091,0.063,0.0,0.0,0.0,0.016,0.0,0.049,0.0,0.005,0.051,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.029,0.0,0.0,0.0,0.0,0.006,0.006,0.0,0.0,0.016,0.0,0.001,0.002,0.006,0.007,0.007,0.002,0.0,0.0
1950-1959,0.268,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.116,0.05,0.063,0.0,0.0,0.0,0.037,0.0,0.09,0.0,0.005,0.068,0.0,0.053,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.0,0.032,0.0,0.0,0.0,0.0,0.015,0.01,0.0,0.0,0.018,0.0,0.002,0.002,0.016,0.015,0.005,0.002,0.0,0.0
1960-1969,0.188,0.0,0.0,0.0,0.001,0.108,0.0,0.0,0.0,0.099,0.079,0.047,0.0,0.0,0.0,0.08,0.0,0.092,0.0,0.004,0.062,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.042,0.0,0.027,0.0,0.0,0.0,0.0,0.027,0.018,0.0,0.0,0.016,0.0,0.007,0.009,0.014,0.016,0.005,0.007,0.0,0.001
1970-1979,0.175,0.0,0.0,0.0,0.0,0.066,0.0,0.0,0.0,0.09,0.097,0.031,0.0,0.0,0.0,0.078,0.0,0.066,0.0,0.002,0.078,0.0,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.095,0.0,0.038,0.0,0.0,0.0,0.0,0.024,0.021,0.0,0.0,0.04,0.0,0.0,0.009,0.038,0.007,0.0,0.009,0.0,0.0
1980-1989,0.174,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.089,0.108,0.038,0.0,0.0,0.0,0.089,0.0,0.108,0.0,0.005,0.047,0.0,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.047,0.0,0.0,0.0,0.0,0.005,0.047,0.0,0.0,0.042,0.0,0.005,0.005,0.028,0.009,0.005,0.009,0.0,0.0
1990-1999,0.178,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.0,0.116,0.089,0.034,0.0,0.0,0.0,0.075,0.0,0.123,0.0,0.0,0.13,0.0,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.041,0.0,0.048,0.0,0.0,0.0,0.0,0.0,0.034,0.0,0.0,0.014,0.0,0.014,0.007,0.007,0.021,0.0,0.0,0.0,0.0
2000-2009,0.157,0.0,0.0,0.0,0.007,0.052,0.0,0.0,0.0,0.03,0.097,0.067,0.0,0.0,0.0,0.075,0.0,0.104,0.0,0.015,0.075,0.0,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.022,0.007,0.007,0.007,0.0,0.015,0.0,0.0
2010-2019,0.204,0.0,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.061,0.082,0.041,0.0,0.0,0.0,0.102,0.0,0.082,0.0,0.0,0.082,0.0,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.122,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.253,0.0,0.0,0.0,0.001,0.065,0.0,0.0,0.0,0.083,0.084,0.059,0.0,0.0,0.0,0.058,0.0,0.081,0.0,0.004,0.068,0.0,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.036,0.0,0.0,0.0,0.0,0.009,0.031,0.0,0.0,0.017,0.0,0.005,0.005,0.014,0.013,0.003,0.005,0.0,0.0
