,0,1,2,3,4,5,6,7,8,9
1920-1929,0.059,0.101,0.128,0.232,0.101,0.025,0.143,0.047,0.022,0.141
1930-1939,0.061,0.139,0.149,0.251,0.052,0.045,0.104,0.035,0.031,0.132
1940-1949,0.087,0.189,0.13,0.176,0.054,0.061,0.06,0.075,0.073,0.095
1950-1959,0.076,0.145,0.152,0.124,0.067,0.072,0.098,0.067,0.085,0.113
1960-1969,0.096,0.108,0.105,0.134,0.091,0.084,0.124,0.083,0.08,0.095
1970-1979,0.112,0.082,0.081,0.088,0.121,0.094,0.14,0.098,0.093,0.091
1980-1989,0.105,0.061,0.073,0.081,0.134,0.113,0.127,0.119,0.115,0.071
1990-1999,0.109,0.051,0.058,0.074,0.126,0.129,0.127,0.133,0.117,0.075
2000-2009,0.111,0.044,0.05,0.064,0.144,0.135,0.121,0.148,0.121,0.063
2010-2019,0.12,0.043,0.055,0.057,0.152,0.123,0.119,0.162,0.115,0.055
2020-2029,0.142,0.036,0.05,0.064,0.082,0.103,0.181,0.199,0.103,0.039
Total,0.098,0.091,0.094,0.122,0.102,0.089,0.122,0.106,0.087,0.088
