,0,1,2,3,4,5,6,7,8,9
1920-1929,4,0,5,0,4,0,0,0,15,12
1930-1939,11,0,10,0,2,0,0,0,12,7
1940-1949,35,6,19,7,6,8,6,11,14,8
1950-1959,89,4,73,6,17,3,1,14,62,48
1960-1969,142,57,77,57,83,48,43,45,138,97
1970-1979,152,232,83,190,195,159,189,152,79,94
1980-1989,146,429,137,349,329,302,304,278,95,95
1990-1999,126,679,95,628,538,504,510,439,92,101
2000-2009,94,809,45,658,501,566,525,483,74,99
2010-2019,30,555,77,508,360,348,373,298,25,44
2020-2029,1,4,1,5,4,6,4,3,0,0
Total,830,2775,622,2408,2039,1944,1955,1723,606,605
