,0,1,2,3,4,5,6,7,8,9
1920-1929,0.302,0.094,0.0,0.142,0.075,0.094,0.075,0.189,0.0,0.028
1930-1939,0.47,0.053,0.0,0.04,0.053,0.04,0.093,0.245,0.0,0.007
1940-1949,0.352,0.113,0.003,0.086,0.07,0.073,0.096,0.19,0.003,0.014
1950-1959,0.357,0.118,0.001,0.064,0.064,0.073,0.081,0.233,0.001,0.008
1960-1969,0.146,0.169,0.0,0.147,0.117,0.116,0.136,0.139,0.002,0.027
1970-1979,0.054,0.2,0.0,0.164,0.136,0.144,0.142,0.137,0.001,0.022
1980-1989,0.024,0.212,0.0,0.171,0.132,0.148,0.147,0.146,0.0,0.019
1990-1999,0.009,0.206,0.0,0.182,0.145,0.152,0.144,0.144,0.0,0.017
2000-2009,0.004,0.219,0.0,0.187,0.137,0.156,0.146,0.135,0.0,0.016
2010-2019,0.002,0.21,0.0,0.2,0.14,0.153,0.155,0.128,0.0,0.013
2020-2029,0.0,0.237,0.0,0.212,0.144,0.127,0.119,0.153,0.0,0.008
Total,0.039,0.203,0.0,0.175,0.134,0.145,0.143,0.141,0.0,0.018
