,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.111,0.028,0.417,0.0,0.0,0.111,0.0,0.0,0.333
1930-1939,0.0,0.344,0.0,0.375,0.0,0.0,0.062,0.0,0.0,0.219
1940-1949,0.0,0.551,0.0,0.286,0.0,0.0,0.041,0.0,0.0,0.122
1950-1959,0.0,0.383,0.0,0.308,0.0,0.0,0.07,0.0,0.0,0.239
1960-1969,0.0,0.299,0.005,0.379,0.0,0.0,0.08,0.0,0.0,0.236
1970-1979,0.0,0.354,0.0,0.281,0.0,0.004,0.109,0.0,0.0,0.252
1980-1989,0.0,0.362,0.003,0.321,0.0,0.0,0.106,0.0,0.0,0.208
1990-1999,0.0,0.338,0.004,0.335,0.004,0.0,0.12,0.0,0.0,0.2
2000-2009,0.0,0.36,0.004,0.329,0.0,0.0,0.084,0.0,0.004,0.218
2010-2019,0.0,0.354,0.0,0.316,0.0,0.0,0.101,0.0,0.0,0.228
2020-2029,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.0,0.405,0.004,0.304,0.0,0.0,0.08,0.0,0.0,0.205
