,0,1,2,3,4,5,6,7,8,9
1920-1929,132,0,18,3,6,2,2,0,55,46
1930-1939,44,2,44,0,6,0,1,0,26,21
1940-1949,223,11,173,11,20,10,13,14,69,52
1950-1959,427,23,321,11,46,16,14,50,227,142
1960-1969,384,123,245,113,124,66,72,101,196,166
1970-1979,211,252,135,211,178,160,161,145,90,105
1980-1989,85,235,38,222,175,188,177,160,59,75
1990-1999,34,181,22,140,139,141,125,120,35,42
2000-2009,18,203,22,207,164,143,168,153,16,25
2010-2019,6,88,14,96,60,70,77,60,6,9
2020-2029,0,1,0,2,1,1,0,1,1,2
Total,1564,1119,1032,1016,919,797,810,804,780,685
