,0,1,2,3,4,5,6,7,8,9
1920-1929,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0
1960-1969,262,128,191,123,167,128,109,155,376,102
1970-1979,535,402,481,539,509,311,456,467,665,230
1980-1989,958,776,1071,1121,1215,656,954,909,1027,533
1990-1999,1071,1368,1244,998,1345,1256,1024,1310,1056,1110
2000-2009,842,1180,1288,674,870,1346,763,1068,736,1525
2010-2019,900,1490,1261,771,1091,2326,936,1218,823,2675
2020-2029,8,30,10,16,23,61,7,31,12,50
Total,4576,5374,5546,4242,5220,6084,4249,5158,4695,6225
