,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.171,0.153,0.045,0.108,0.162,0.063,0.117,0.081,0.063,0.036
1970-1979,0.09,0.093,0.101,0.126,0.145,0.062,0.12,0.092,0.127,0.043
1980-1989,0.101,0.082,0.107,0.131,0.135,0.065,0.109,0.112,0.111,0.047
1990-1999,0.093,0.103,0.112,0.088,0.104,0.118,0.089,0.106,0.083,0.104
2000-2009,0.066,0.118,0.131,0.071,0.089,0.142,0.071,0.088,0.067,0.157
2010-2019,0.053,0.134,0.086,0.055,0.091,0.144,0.062,0.078,0.069,0.228
2020-2029,0.178,0.116,0.008,0.054,0.047,0.155,0.14,0.062,0.054,0.186
Total,0.081,0.107,0.106,0.093,0.111,0.108,0.089,0.095,0.09,0.119
