,0,1,2,3,4,5,6,7,8,9
1920-1929,0.067,0.121,0.208,0.02,0.228,0.094,0.134,0.02,0.06,0.047
1930-1939,0.075,0.093,0.217,0.043,0.224,0.043,0.13,0.056,0.019,0.099
1940-1949,0.0,0.167,0.0,0.083,0.417,0.333,0.0,0.0,0.0,0.0
1950-1959,0.075,0.194,0.106,0.094,0.119,0.119,0.094,0.012,0.031,0.156
1960-1969,0.081,0.095,0.172,0.06,0.11,0.183,0.08,0.054,0.085,0.079
1970-1979,0.119,0.1,0.121,0.06,0.094,0.132,0.118,0.048,0.122,0.085
1980-1989,0.138,0.105,0.098,0.066,0.1,0.101,0.123,0.052,0.133,0.084
1990-1999,0.1,0.121,0.087,0.095,0.11,0.087,0.094,0.089,0.107,0.109
2000-2009,0.065,0.107,0.07,0.132,0.125,0.069,0.077,0.144,0.094,0.115
2010-2019,0.06,0.098,0.062,0.164,0.1,0.057,0.073,0.191,0.083,0.112
2020-2029,0.074,0.103,0.068,0.178,0.066,0.055,0.067,0.201,0.08,0.109
Total,0.078,0.118,0.11,0.091,0.154,0.116,0.09,0.079,0.074,0.091
