,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.5
1960-1969,0.028,0.111,0.417,0.0,0.0,0.139,0.056,0.0,0.056,0.194
1970-1979,0.0,0.0,0.125,0.0,0.312,0.062,0.062,0.188,0.0,0.25
1980-1989,0.018,0.089,0.125,0.179,0.125,0.054,0.107,0.143,0.054,0.107
1990-1999,0.0,0.078,0.098,0.294,0.088,0.02,0.01,0.235,0.039,0.137
2000-2009,0.0,0.055,0.028,0.257,0.119,0.0,0.009,0.358,0.046,0.128
2010-2019,0.007,0.034,0.02,0.356,0.054,0.0,0.013,0.336,0.04,0.141
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.25
Total,0.006,0.041,0.201,0.121,0.133,0.031,0.029,0.14,0.109,0.19
