,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.026,0.051,0.282,0.051,0.308,0.103,0.077,0.051,0.0,0.051
1970-1979,0.0,0.083,0.111,0.194,0.167,0.167,0.028,0.083,0.056,0.111
1980-1989,0.028,0.056,0.153,0.139,0.167,0.181,0.042,0.153,0.028,0.056
1990-1999,0.017,0.066,0.107,0.248,0.107,0.099,0.033,0.174,0.025,0.124
2000-2009,0.0,0.043,0.011,0.299,0.125,0.0,0.005,0.348,0.049,0.12
2010-2019,0.0,0.038,0.028,0.264,0.094,0.0,0.009,0.396,0.028,0.142
2020-2029,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.333,0.0,0.0
Total,0.009,0.042,0.149,0.254,0.163,0.069,0.024,0.192,0.023,0.075
