,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.529,0.0,0.059,0.0,0.0,0.0,0.059,0.0,0.0,0.0,0.235,0.0,0.059,0.0,0.059,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.056,0.0,0.028,0.278,0.028,0.0,0.028,0.0,0.028,0.25,0.0,0.0,0.0,0.0,0.028,0.0,0.111,0.111,0.028,0.028
1960-1969,0.036,0.051,0.045,0.074,0.031,0.036,0.054,0.058,0.046,0.047,0.031,0.07,0.046,0.038,0.122,0.034,0.052,0.046,0.033,0.047
1970-1979,0.068,0.043,0.061,0.059,0.034,0.029,0.054,0.049,0.049,0.042,0.035,0.049,0.056,0.06,0.047,0.062,0.07,0.037,0.046,0.05
1980-1989,0.066,0.046,0.054,0.053,0.033,0.033,0.051,0.045,0.053,0.05,0.048,0.042,0.045,0.049,0.046,0.073,0.073,0.044,0.049,0.046
1990-1999,0.041,0.053,0.06,0.044,0.055,0.04,0.04,0.057,0.048,0.068,0.05,0.054,0.052,0.057,0.062,0.042,0.042,0.038,0.053,0.045
2000-2009,0.047,0.058,0.049,0.032,0.075,0.051,0.04,0.039,0.057,0.049,0.074,0.043,0.036,0.065,0.043,0.042,0.03,0.053,0.056,0.064
2010-2019,0.041,0.037,0.039,0.033,0.094,0.113,0.052,0.034,0.037,0.052,0.057,0.029,0.039,0.03,0.072,0.043,0.03,0.04,0.07,0.059
2020-2029,0.015,0.059,0.015,0.074,0.029,0.059,0.059,0.015,0.088,0.029,0.0,0.0,0.059,0.206,0.059,0.029,0.059,0.044,0.029,0.074
Total,0.054,0.047,0.053,0.05,0.05,0.046,0.049,0.047,0.049,0.052,0.048,0.046,0.047,0.051,0.059,0.054,0.055,0.042,0.051,0.05
