,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.018,0.153,0.045,0.045,0.081,0.054,0.018,0.027,0.171,0.063,0.036,0.036,0.054,0.0,0.009,0.018,0.027,0.054,0.036,0.054
1970-1979,0.062,0.067,0.045,0.063,0.065,0.043,0.024,0.069,0.065,0.05,0.038,0.045,0.043,0.036,0.044,0.045,0.025,0.048,0.078,0.045
1980-1989,0.073,0.06,0.061,0.048,0.048,0.048,0.028,0.056,0.054,0.04,0.057,0.041,0.042,0.04,0.047,0.05,0.026,0.059,0.066,0.056
1990-1999,0.047,0.048,0.051,0.056,0.052,0.058,0.051,0.039,0.056,0.049,0.037,0.044,0.052,0.066,0.039,0.059,0.038,0.046,0.049,0.063
2000-2009,0.034,0.051,0.032,0.054,0.041,0.06,0.09,0.037,0.04,0.044,0.036,0.05,0.056,0.075,0.05,0.045,0.056,0.045,0.037,0.066
2010-2019,0.031,0.051,0.038,0.042,0.039,0.044,0.142,0.037,0.033,0.043,0.042,0.041,0.064,0.059,0.028,0.037,0.093,0.041,0.043,0.052
2020-2029,0.016,0.016,0.016,0.047,0.047,0.016,0.132,0.039,0.054,0.062,0.008,0.078,0.031,0.07,0.078,0.078,0.07,0.085,0.016,0.047
Total,0.04,0.064,0.041,0.051,0.053,0.046,0.069,0.043,0.068,0.05,0.036,0.048,0.049,0.049,0.042,0.047,0.048,0.054,0.046,0.055
