,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.25
1960-1969,0.001,0.0,0.13,0.0,0.146,0.089,0.115,0.058,0.063,0.084,0.008,0.039,0.053,0.053,0.024,0.014,0.01,0.06,0.044,0.011
1970-1979,0.0,0.003,0.174,0.001,0.106,0.102,0.111,0.063,0.098,0.072,0.012,0.041,0.036,0.059,0.011,0.008,0.009,0.048,0.038,0.006
1980-1989,0.0,0.001,0.197,0.001,0.08,0.12,0.1,0.077,0.109,0.038,0.005,0.046,0.048,0.038,0.011,0.008,0.014,0.053,0.048,0.006
1990-1999,0.002,0.009,0.144,0.003,0.082,0.086,0.083,0.081,0.093,0.047,0.025,0.07,0.057,0.058,0.021,0.015,0.024,0.043,0.049,0.008
2000-2009,0.0,0.019,0.069,0.009,0.102,0.019,0.06,0.069,0.005,0.125,0.116,0.056,0.079,0.079,0.028,0.019,0.028,0.046,0.046,0.028
2010-2019,0.018,0.07,0.053,0.035,0.123,0.0,0.035,0.035,0.035,0.14,0.053,0.035,0.123,0.07,0.018,0.053,0.053,0.035,0.018,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.003,0.015,0.11,0.007,0.091,0.059,0.072,0.055,0.093,0.072,0.031,0.041,0.092,0.087,0.016,0.017,0.02,0.041,0.035,0.044
