,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.026,0.026,0.0,0.026,0.103,0.0,0.0,0.026,0.0,0.026,0.103,0.077,0.051,0.0,0.282,0.128,0.103,0.0,0.026,0.0
1970-1979,0.028,0.0,0.0,0.25,0.167,0.0,0.028,0.0,0.0,0.056,0.028,0.056,0.056,0.0,0.194,0.028,0.0,0.028,0.028,0.056
1980-1989,0.069,0.042,0.0,0.153,0.111,0.014,0.014,0.014,0.014,0.042,0.028,0.111,0.042,0.0,0.111,0.083,0.028,0.042,0.014,0.069
1990-1999,0.149,0.14,0.008,0.174,0.066,0.033,0.008,0.017,0.008,0.033,0.05,0.025,0.066,0.008,0.05,0.041,0.05,0.017,0.008,0.05
2000-2009,0.201,0.228,0.0,0.179,0.0,0.0,0.0,0.038,0.0,0.011,0.098,0.005,0.027,0.016,0.043,0.043,0.076,0.005,0.016,0.011
2010-2019,0.226,0.208,0.0,0.179,0.0,0.009,0.0,0.009,0.0,0.047,0.057,0.009,0.038,0.028,0.009,0.066,0.038,0.019,0.009,0.047
2020-2029,0.167,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.108,0.205,0.001,0.12,0.056,0.007,0.006,0.013,0.003,0.048,0.045,0.035,0.035,0.09,0.086,0.049,0.037,0.014,0.013,0.029
