,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-1979,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-1989,26,17,23,28,30,21,15,26,24,24,31,25,38,23,31,19,31,25,27,21,25,17,13,18,35,27,11,30,21,28,30,28,19,18,17,27,22,26,35,29,35,21,27,28,35,33,32,30,28,24
1990-1999,55,55,45,70,76,58,64,67,37,42,54,39,34,46,72,62,55,43,46,36,41,53,47,39,51,47,44,59,49,48,73,36,42,48,38,57,64,53,33,40,42,41,46,54,72,54,54,44,56,50
2000-2009,41,70,46,64,40,47,45,45,47,57,51,37,39,51,46,56,52,41,36,48,30,55,31,50,49,41,57,44,29,47,53,29,47,38,31,44,45,31,55,41,38,57,51,51,45,44,46,46,25,47
2010-2019,55,153,59,63,57,62,48,80,57,58,90,45,57,169,82,94,68,55,72,62,191,66,70,82,70,58,99,57,60,57,80,44,61,70,65,61,74,79,52,32,59,59,72,79,62,60,67,58,80,77
2020-2029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,177,295,173,225,203,188,172,218,165,181,226,146,168,289,231,231,206,164,181,167,287,191,161,189,205,173,211,190,159,180,236,137,169,174,151,189,205,189,175,142,174,178,196,212,214,191,199,178,189,198
