,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.005,0.0,0.077,0.058,0.029,0.005,0.034,0.043,0.005,0.039,0.019,0.014,0.029,0.058,0.014,0.019,0.019,0.058,0.014,0.024,0.014,0.029,0.039,0.043,0.029,0.014,0.019,0.024,0.01,0.01,0.029,0.024,0.0,0.029,0.029,0.0,0.005,0.01,0.005,0.01,0.014,0.0,0.005,0.01,0.01,0.0,0.01,0.01,0.005
1970-1979,0.006,0.0,0.003,0.062,0.062,0.048,0.012,0.051,0.045,0.012,0.042,0.006,0.006,0.074,0.042,0.033,0.039,0.042,0.03,0.018,0.036,0.006,0.024,0.03,0.039,0.009,0.003,0.021,0.006,0.012,0.024,0.015,0.012,0.003,0.024,0.027,0.006,0.003,0.0,0.012,0.006,0.018,0.015,0.003,0.003,0.003,0.006,0.006,0.0,0.0
1980-1989,0.013,0.021,0.015,0.048,0.048,0.042,0.008,0.051,0.042,0.017,0.036,0.004,0.021,0.019,0.021,0.044,0.055,0.036,0.025,0.032,0.036,0.011,0.025,0.017,0.032,0.027,0.013,0.027,0.019,0.019,0.015,0.019,0.013,0.0,0.011,0.025,0.006,0.008,0.0,0.006,0.008,0.011,0.008,0.006,0.008,0.011,0.011,0.006,0.002,0.002
1990-1999,0.079,0.041,0.069,0.024,0.021,0.027,0.052,0.021,0.01,0.058,0.024,0.031,0.01,0.014,0.024,0.017,0.014,0.003,0.024,0.021,0.027,0.01,0.007,0.01,0.01,0.017,0.017,0.024,0.045,0.01,0.01,0.021,0.017,0.01,0.017,0.014,0.007,0.024,0.031,0.007,0.007,0.017,0.003,0.01,0.01,0.003,0.007,0.003,0.007,0.01
2000-2009,0.11,0.142,0.046,0.005,0.0,0.005,0.05,0.009,0.005,0.059,0.014,0.055,0.023,0.009,0.032,0.0,0.0,0.005,0.018,0.009,0.0,0.05,0.005,0.014,0.0,0.018,0.032,0.023,0.032,0.023,0.014,0.014,0.005,0.009,0.005,0.005,0.023,0.027,0.018,0.018,0.0,0.014,0.005,0.005,0.009,0.0,0.018,0.009,0.009,0.005
2010-2019,0.192,0.179,0.092,0.005,0.0,0.0,0.049,0.003,0.005,0.023,0.003,0.043,0.033,0.0,0.026,0.008,0.003,0.0,0.005,0.015,0.0,0.026,0.01,0.02,0.0,0.01,0.02,0.018,0.013,0.026,0.015,0.008,0.013,0.018,0.005,0.008,0.013,0.028,0.01,0.013,0.018,0.0,0.0,0.003,0.003,0.01,0.003,0.0,0.003,0.005
2020-2029,0.083,0.083,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.083,0.083,0.083,0.083,0.083,0.0,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
