,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111
1960-1969,0.003,0.004,0.003,0.042,0.006,0.003,0.001,0.046,0.036,0.036,0.003,0.016,0.034,0.036,0.009,0.045,0.027,0.033,0.006,0.036,0.012,0.001,0.064,0.009,0.042,0.009,0.004,0.009,0.034,0.01,0.022,0.001,0.028,0.001,0.046,0.012,0.0,0.03,0.024,0.025,0.006,0.01,0.01,0.019,0.031,0.015,0.054,0.019,0.009,0.012
1970-1979,0.006,0.008,0.001,0.02,0.002,0.003,0.008,0.054,0.046,0.029,0.005,0.018,0.056,0.033,0.007,0.046,0.027,0.039,0.005,0.009,0.006,0.004,0.06,0.003,0.057,0.002,0.006,0.006,0.038,0.012,0.016,0.005,0.04,0.002,0.04,0.018,0.005,0.014,0.027,0.043,0.003,0.006,0.009,0.017,0.016,0.023,0.068,0.013,0.007,0.012
1980-1989,0.007,0.007,0.007,0.022,0.004,0.01,0.013,0.054,0.042,0.025,0.016,0.019,0.047,0.041,0.01,0.046,0.024,0.043,0.011,0.011,0.013,0.011,0.028,0.005,0.049,0.006,0.011,0.005,0.038,0.016,0.019,0.005,0.031,0.006,0.042,0.016,0.003,0.013,0.021,0.036,0.009,0.004,0.01,0.018,0.022,0.019,0.049,0.016,0.009,0.011
1990-1999,0.036,0.015,0.019,0.028,0.006,0.008,0.009,0.018,0.03,0.03,0.049,0.021,0.026,0.012,0.019,0.014,0.019,0.022,0.018,0.023,0.027,0.044,0.019,0.007,0.027,0.013,0.063,0.01,0.019,0.034,0.015,0.008,0.022,0.014,0.013,0.023,0.016,0.024,0.02,0.011,0.023,0.005,0.007,0.032,0.023,0.023,0.019,0.012,0.01,0.003
2000-2009,0.05,0.038,0.012,0.024,0.001,0.004,0.019,0.001,0.01,0.018,0.072,0.024,0.006,0.006,0.022,0.006,0.004,0.005,0.018,0.029,0.031,0.14,0.007,0.013,0.004,0.005,0.112,0.005,0.005,0.056,0.006,0.01,0.001,0.029,0.005,0.008,0.025,0.005,0.012,0.006,0.058,0.005,0.002,0.012,0.018,0.016,0.005,0.012,0.014,0.006
2010-2019,0.058,0.056,0.025,0.018,0.001,0.005,0.019,0.002,0.004,0.008,0.078,0.014,0.003,0.005,0.033,0.002,0.01,0.005,0.014,0.039,0.022,0.172,0.002,0.018,0.003,0.005,0.158,0.0,0.005,0.039,0.005,0.006,0.001,0.019,0.0,0.014,0.024,0.005,0.012,0.0,0.044,0.003,0.003,0.002,0.014,0.013,0.002,0.011,0.0,0.004
2020-2029,0.062,0.031,0.031,0.0,0.0,0.031,0.0,0.0,0.0,0.031,0.094,0.031,0.0,0.0,0.031,0.031,0.0,0.0,0.0,0.031,0.031,0.094,0.0,0.0,0.0,0.094,0.062,0.0,0.0,0.031,0.0,0.031,0.0,0.0,0.0,0.0,0.031,0.0,0.062,0.0,0.062,0.031,0.0,0.0,0.0,0.031,0.0,0.031,0.0,0.0
Total,0.022,0.016,0.01,0.027,0.052,0.031,0.007,0.018,0.042,0.018,0.043,0.014,0.028,0.013,0.013,0.019,0.036,0.015,0.007,0.018,0.014,0.047,0.029,0.017,0.018,0.013,0.042,0.004,0.014,0.02,0.008,0.032,0.012,0.043,0.015,0.009,0.01,0.009,0.029,0.012,0.032,0.006,0.004,0.01,0.037,0.014,0.02,0.011,0.005,0.016
