,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.011,0.011,0.053,0.074,0.074,0.021,0.053,0.021,0.011,0.011,0.0,0.032,0.021,0.021,0.021,0.021,0.032,0.043,0.064,0.043,0.0,0.0,0.032,0.074,0.011,0.011,0.011,0.021,0.011,0.011,0.021,0.043,0.0,0.011,0.011,0.0,0.011,0.0,0.0,0.0,0.011,0.011,0.011,0.011,0.011,0.0,0.011,0.021,0.0
1970-1979,0.016,0.0,0.02,0.06,0.088,0.044,0.0,0.04,0.052,0.016,0.028,0.004,0.012,0.072,0.036,0.04,0.052,0.032,0.02,0.02,0.036,0.0,0.044,0.004,0.04,0.012,0.008,0.02,0.004,0.004,0.02,0.012,0.02,0.0,0.028,0.024,0.0,0.0,0.004,0.004,0.012,0.02,0.008,0.008,0.004,0.0,0.008,0.008,0.0,0.0
1980-1989,0.016,0.014,0.04,0.056,0.064,0.044,0.006,0.032,0.064,0.018,0.016,0.008,0.028,0.028,0.028,0.042,0.03,0.022,0.026,0.032,0.026,0.01,0.018,0.028,0.026,0.026,0.022,0.014,0.016,0.014,0.022,0.018,0.012,0.012,0.026,0.016,0.004,0.004,0.006,0.006,0.012,0.016,0.008,0.004,0.012,0.002,0.004,0.004,0.004,0.0
1990-1999,0.057,0.063,0.063,0.013,0.022,0.03,0.031,0.02,0.031,0.036,0.033,0.031,0.022,0.006,0.024,0.02,0.019,0.024,0.024,0.027,0.016,0.014,0.02,0.013,0.014,0.019,0.022,0.038,0.024,0.013,0.019,0.02,0.011,0.017,0.019,0.013,0.014,0.014,0.006,0.014,0.011,0.008,0.009,0.003,0.011,0.003,0.011,0.003,0.002,0.003
2000-2009,0.133,0.119,0.067,0.007,0.0,0.007,0.065,0.004,0.007,0.025,0.009,0.054,0.032,0.004,0.043,0.007,0.002,0.004,0.018,0.013,0.004,0.041,0.016,0.014,0.004,0.009,0.025,0.023,0.014,0.022,0.011,0.005,0.02,0.02,0.005,0.005,0.032,0.018,0.014,0.009,0.014,0.022,0.005,0.004,0.002,0.002,0.004,0.002,0.009,0.004
2010-2019,0.189,0.147,0.1,0.001,0.0,0.0,0.067,0.003,0.007,0.033,0.0,0.051,0.044,0.004,0.016,0.004,0.0,0.0,0.003,0.008,0.001,0.03,0.014,0.01,0.0,0.014,0.015,0.01,0.019,0.023,0.015,0.007,0.012,0.029,0.003,0.003,0.022,0.026,0.012,0.014,0.011,0.001,0.004,0.003,0.005,0.007,0.005,0.001,0.004,0.003
2020-2029,0.308,0.231,0.077,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.077,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.095,0.081,0.064,0.022,0.027,0.023,0.04,0.017,0.027,0.027,0.015,0.033,0.03,0.015,0.027,0.019,0.015,0.014,0.018,0.02,0.014,0.021,0.019,0.015,0.015,0.016,0.019,0.02,0.017,0.017,0.017,0.013,0.015,0.018,0.014,0.01,0.016,0.015,0.009,0.01,0.012,0.012,0.007,0.004,0.007,0.004,0.006,0.003,0.005,0.002
