,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.015,0.0,0.0,0.076,0.061,0.091,0.0,0.03,0.015,0.0,0.091,0.0,0.0,0.091,0.03,0.03,0.015,0.061,0.03,0.061,0.03,0.0,0.03,0.045,0.015,0.015,0.0,0.0,0.0,0.0,0.0,0.015,0.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015,0.03,0.015,0.015,0.0,0.0,0.03,0.0,0.0
1970-1979,0.005,0.0,0.0,0.091,0.058,0.058,0.0,0.043,0.067,0.019,0.048,0.005,0.005,0.072,0.005,0.034,0.029,0.029,0.029,0.029,0.043,0.0,0.048,0.014,0.077,0.014,0.0,0.024,0.024,0.005,0.01,0.019,0.019,0.0,0.01,0.005,0.005,0.005,0.005,0.01,0.0,0.01,0.005,0.0,0.0,0.005,0.01,0.0,0.005,0.005
1980-1989,0.004,0.0,0.008,0.046,0.057,0.05,0.008,0.046,0.073,0.015,0.053,0.0,0.0,0.019,0.004,0.034,0.061,0.061,0.027,0.057,0.038,0.004,0.023,0.019,0.073,0.015,0.004,0.011,0.011,0.004,0.023,0.008,0.023,0.004,0.004,0.015,0.0,0.011,0.008,0.015,0.008,0.004,0.008,0.0,0.023,0.011,0.004,0.008,0.0,0.0
1990-1999,0.013,0.0,0.0,0.063,0.038,0.038,0.013,0.063,0.089,0.038,0.025,0.013,0.013,0.013,0.0,0.076,0.063,0.038,0.038,0.013,0.013,0.0,0.051,0.025,0.0,0.013,0.0,0.089,0.025,0.0,0.0,0.0,0.013,0.0,0.0,0.025,0.013,0.0,0.013,0.025,0.0,0.0,0.013,0.0,0.013,0.013,0.0,0.013,0.0,0.0
2000-2009,0.0,0.059,0.0,0.0,0.0,0.0,0.118,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.059,0.0,0.059,0.0,0.118,0.0,0.059,0.118,0.059,0.0,0.059,0.059,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.059,0.0,0.0
2010-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.006,0.01,0.001,0.046,0.036,0.039,0.023,0.03,0.041,0.022,0.036,0.003,0.003,0.032,0.118,0.029,0.028,0.031,0.021,0.036,0.031,0.001,0.035,0.017,0.047,0.01,0.01,0.04,0.02,0.001,0.015,0.017,0.082,0.001,0.002,0.008,0.003,0.003,0.004,0.008,0.001,0.005,0.009,0.003,0.008,0.005,0.002,0.018,0.001,0.001
