,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0
1930-1939,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
1960-1969,1,1,2,0,0,1,1,2,2,2,0,4,23,1,21,2,2,2,3,0,1,1,2,1,0,8,8,2,4,4,3,9,0,1,14,2,0,0,2,0,5,0,1,3,0,0,1,0,3,2
1970-1979,4,5,4,0,0,1,1,2,1,0,0,1,9,1,18,0,0,0,2,0,1,5,2,1,0,5,5,4,3,6,4,5,0,0,6,1,1,0,3,0,2,0,0,1,0,0,2,1,1,0
1980-1989,13,15,19,1,0,1,5,2,0,4,1,10,12,1,25,3,1,0,9,1,5,6,3,0,1,10,10,2,6,6,8,6,1,5,8,2,3,2,5,0,5,1,1,4,2,0,4,2,4,1
1990-1999,62,43,49,0,0,7,31,6,8,19,0,22,22,5,23,5,1,1,8,4,3,14,5,5,1,15,21,5,13,18,18,19,6,16,20,8,12,9,15,4,3,0,0,10,2,2,4,4,5,4
2000-2009,92,115,60,3,1,3,38,4,3,42,3,46,23,5,18,3,2,3,10,3,1,31,6,3,1,15,21,7,16,17,5,2,8,10,4,3,18,20,13,14,8,5,4,4,1,3,7,2,0,3
2010-2019,162,175,80,2,1,3,57,2,4,39,1,45,40,1,17,5,5,0,7,5,1,57,12,9,0,13,21,13,11,34,14,2,11,26,5,4,25,18,13,19,18,0,3,5,3,4,6,0,1,2
2020-2029,2,3,3,0,0,0,2,0,0,1,1,2,1,0,0,0,0,0,1,0,0,1,2,0,0,0,1,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,1,1,0,0,1
Total,336,357,218,6,2,16,135,18,19,107,6,131,130,14,123,18,11,6,40,13,12,115,32,20,3,67,87,34,54,86,52,43,27,59,57,20,60,51,51,37,42,6,9,30,8,11,26,9,16,13
