,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.026,0.0,0.026,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.179,0.0,0.179,0.0,0.051,0.026,0.0,0.0,0.026,0.0,0.026,0.026,0.0,0.077,0.026,0.026,0.026,0.0,0.026,0.0,0.0,0.026,0.077,0.026,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.051,0.0
1970-1979,0.056,0.0,0.056,0.0,0.0,0.0,0.028,0.0,0.028,0.0,0.0,0.028,0.111,0.028,0.083,0.0,0.0,0.0,0.028,0.0,0.0,0.028,0.028,0.0,0.0,0.028,0.083,0.0,0.0,0.028,0.056,0.083,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.056,0.0,0.0,0.0,0.028,0.0,0.0
1980-1989,0.028,0.042,0.111,0.0,0.0,0.0,0.028,0.0,0.0,0.056,0.0,0.028,0.042,0.014,0.111,0.028,0.0,0.0,0.028,0.0,0.0,0.028,0.014,0.0,0.0,0.028,0.097,0.028,0.028,0.028,0.0,0.069,0.0,0.0,0.056,0.014,0.014,0.0,0.056,0.0,0.014,0.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0
1990-1999,0.107,0.074,0.058,0.0,0.0,0.017,0.041,0.008,0.008,0.025,0.0,0.05,0.033,0.0,0.041,0.0,0.008,0.008,0.008,0.0,0.0,0.025,0.033,0.0,0.0,0.05,0.033,0.033,0.008,0.033,0.025,0.033,0.0,0.058,0.041,0.017,0.017,0.025,0.0,0.017,0.0,0.0,0.0,0.041,0.0,0.008,0.017,0.0,0.0,0.0
2000-2009,0.158,0.136,0.071,0.0,0.0,0.0,0.087,0.011,0.0,0.054,0.011,0.038,0.022,0.0,0.027,0.005,0.0,0.005,0.022,0.016,0.011,0.049,0.0,0.027,0.005,0.016,0.022,0.0,0.011,0.027,0.0,0.0,0.0,0.033,0.005,0.0,0.033,0.022,0.016,0.022,0.016,0.0,0.0,0.0,0.0,0.0,0.016,0.0,0.005,0.0
2010-2019,0.236,0.142,0.066,0.009,0.009,0.009,0.047,0.0,0.0,0.019,0.0,0.028,0.047,0.0,0.009,0.009,0.009,0.0,0.009,0.0,0.0,0.038,0.009,0.009,0.0,0.009,0.019,0.009,0.0,0.047,0.009,0.009,0.019,0.028,0.0,0.009,0.019,0.019,0.019,0.019,0.009,0.0,0.0,0.028,0.0,0.009,0.0,0.0,0.009,0.0
2020-2029,0.167,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.167,0.0,0.0,0.0
Total,0.129,0.094,0.067,0.002,0.002,0.005,0.051,0.007,0.004,0.034,0.004,0.037,0.048,0.004,0.051,0.007,0.007,0.005,0.018,0.005,0.005,0.034,0.014,0.012,0.002,0.028,0.037,0.014,0.011,0.03,0.012,0.023,0.004,0.03,0.03,0.009,0.019,0.018,0.016,0.014,0.012,0.0,0.0,0.018,0.002,0.005,0.012,0.002,0.007,0.0
