,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1970-1979,1,1,2,0,0,0,0,1,0,0,0,0,4,0,2,0,0,0,0,0,0,1,0,0,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1980-1989,3,0,8,1,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,1,2,0,0,1,3,1,1,0,0,1,0,1,3,1,0,0,2,0,0,0,1,0,1,0,0,0,1,0,1
1990-1999,13,17,8,0,0,0,8,1,1,1,0,5,3,1,5,3,0,0,3,1,1,4,2,0,0,3,5,1,4,3,1,7,0,1,4,4,2,2,4,1,1,0,1,2,0,0,0,4,0,0
2000-2009,35,28,16,0,0,1,11,0,0,8,2,19,5,0,7,1,0,1,3,0,0,12,3,1,0,3,6,0,3,7,1,0,2,3,2,2,6,5,3,3,4,1,0,1,0,0,1,0,0,0
2010-2019,39,42,24,0,0,1,14,1,1,9,0,12,7,3,5,0,1,0,1,1,2,9,5,2,0,3,1,4,4,7,4,0,2,4,0,2,10,7,5,4,4,0,0,0,2,1,1,0,0,0
2020-2029,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,93,91,58,1,0,2,33,3,2,18,2,36,23,4,21,4,1,1,7,2,4,28,11,3,2,13,14,6,12,18,7,7,5,12,7,8,18,16,12,8,9,2,1,4,2,1,2,5,0,1
