,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.005,0.014,0.0,0.058,0.01,0.01,0.005,0.058,0.043,0.058,0.0,0.024,0.034,0.014,0.01,0.039,0.039,0.019,0.01,0.014,0.014,0.005,0.029,0.01,0.029,0.005,0.0,0.01,0.014,0.005,0.029,0.0,0.024,0.005,0.019,0.01,0.0,0.029,0.029,0.043,0.019,0.005,0.01,0.029,0.029,0.019,0.077,0.024,0.014,0.0
1970-1979,0.012,0.006,0.003,0.042,0.0,0.003,0.012,0.062,0.045,0.03,0.003,0.006,0.051,0.018,0.012,0.042,0.03,0.039,0.0,0.006,0.003,0.0,0.074,0.006,0.048,0.003,0.006,0.006,0.033,0.012,0.027,0.006,0.036,0.003,0.042,0.024,0.006,0.024,0.024,0.039,0.006,0.0,0.003,0.015,0.009,0.021,0.062,0.012,0.018,0.015
1980-1989,0.008,0.011,0.0,0.021,0.002,0.011,0.006,0.048,0.042,0.025,0.015,0.019,0.051,0.032,0.019,0.036,0.017,0.055,0.0,0.021,0.013,0.021,0.019,0.008,0.042,0.006,0.013,0.006,0.044,0.017,0.025,0.011,0.036,0.008,0.036,0.015,0.006,0.011,0.025,0.032,0.004,0.002,0.008,0.019,0.027,0.027,0.048,0.013,0.011,0.008
1990-1999,0.052,0.01,0.01,0.024,0.007,0.003,0.007,0.021,0.01,0.024,0.069,0.045,0.021,0.021,0.01,0.024,0.01,0.014,0.031,0.01,0.017,0.041,0.014,0.007,0.027,0.01,0.079,0.003,0.017,0.058,0.014,0.007,0.027,0.024,0.003,0.01,0.007,0.017,0.007,0.01,0.031,0.01,0.01,0.021,0.017,0.024,0.024,0.017,0.017,0.003
2000-2009,0.05,0.05,0.009,0.032,0.009,0.0,0.018,0.0,0.005,0.018,0.046,0.032,0.009,0.009,0.023,0.014,0.014,0.0,0.018,0.023,0.032,0.142,0.009,0.0,0.005,0.005,0.11,0.009,0.0,0.059,0.005,0.018,0.0,0.027,0.005,0.014,0.023,0.005,0.005,0.0,0.055,0.005,0.009,0.014,0.018,0.023,0.005,0.005,0.014,0.005
2010-2019,0.049,0.026,0.018,0.026,0.003,0.01,0.013,0.0,0.005,0.005,0.092,0.013,0.003,0.015,0.026,0.003,0.02,0.003,0.01,0.033,0.02,0.179,0.0,0.018,0.0,0.003,0.192,0.0,0.008,0.023,0.008,0.003,0.0,0.028,0.0,0.015,0.013,0.005,0.01,0.0,0.043,0.005,0.003,0.008,0.01,0.018,0.005,0.013,0.0,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.083,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.0,0.0,0.0,0.0,0.0,0.083,0.0,0.083,0.0,0.0,0.083,0.0,0.083,0.0,0.0,0.0,0.0,0.083,0.0,0.083,0.0,0.0
Total,0.022,0.015,0.005,0.025,0.129,0.005,0.008,0.024,0.019,0.02,0.038,0.028,0.021,0.014,0.023,0.02,0.016,0.016,0.009,0.013,0.023,0.059,0.018,0.006,0.019,0.004,0.06,0.004,0.015,0.022,0.013,0.006,0.015,0.022,0.013,0.021,0.007,0.011,0.023,0.016,0.03,0.003,0.005,0.013,0.014,0.027,0.028,0.021,0.009,0.004
