,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.2,0.2,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0
1940-1949,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.111,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111
1960-1969,0.007,0.003,0.004,0.04,0.007,0.007,0.002,0.05,0.034,0.037,0.004,0.015,0.035,0.037,0.008,0.035,0.027,0.032,0.004,0.03,0.013,0.004,0.068,0.006,0.049,0.009,0.004,0.008,0.037,0.011,0.024,0.002,0.03,0.002,0.043,0.01,0.0,0.026,0.022,0.032,0.005,0.009,0.011,0.023,0.027,0.014,0.054,0.02,0.008,0.012
1970-1979,0.006,0.006,0.002,0.021,0.002,0.004,0.006,0.064,0.047,0.027,0.006,0.017,0.058,0.029,0.006,0.042,0.026,0.04,0.004,0.009,0.006,0.003,0.056,0.004,0.056,0.004,0.007,0.007,0.039,0.011,0.017,0.004,0.041,0.002,0.04,0.018,0.003,0.014,0.032,0.039,0.004,0.004,0.009,0.018,0.016,0.02,0.069,0.015,0.008,0.011
1980-1989,0.007,0.007,0.008,0.023,0.004,0.007,0.009,0.056,0.051,0.028,0.02,0.016,0.049,0.035,0.01,0.043,0.027,0.039,0.008,0.014,0.015,0.011,0.026,0.007,0.049,0.007,0.011,0.004,0.036,0.016,0.018,0.004,0.032,0.006,0.04,0.018,0.003,0.015,0.02,0.033,0.009,0.003,0.009,0.016,0.022,0.017,0.058,0.016,0.01,0.009
1990-1999,0.032,0.014,0.017,0.022,0.004,0.006,0.009,0.02,0.028,0.028,0.051,0.023,0.027,0.016,0.018,0.025,0.018,0.022,0.012,0.024,0.025,0.053,0.013,0.008,0.027,0.011,0.056,0.007,0.021,0.034,0.015,0.008,0.023,0.014,0.019,0.02,0.013,0.022,0.021,0.013,0.026,0.005,0.008,0.026,0.023,0.025,0.02,0.011,0.011,0.006
2000-2009,0.056,0.039,0.018,0.032,0.003,0.007,0.014,0.001,0.008,0.015,0.071,0.022,0.005,0.008,0.025,0.007,0.008,0.004,0.015,0.031,0.028,0.135,0.004,0.015,0.004,0.004,0.118,0.003,0.006,0.045,0.004,0.007,0.002,0.026,0.003,0.01,0.026,0.004,0.013,0.004,0.053,0.004,0.002,0.009,0.017,0.02,0.006,0.014,0.017,0.004
2010-2019,0.061,0.045,0.027,0.015,0.002,0.005,0.014,0.002,0.006,0.005,0.087,0.016,0.004,0.007,0.028,0.001,0.01,0.003,0.012,0.042,0.02,0.152,0.002,0.015,0.002,0.005,0.177,0.001,0.005,0.037,0.003,0.005,0.001,0.019,0.001,0.015,0.025,0.005,0.012,0.0,0.046,0.002,0.003,0.006,0.014,0.012,0.003,0.011,0.0,0.005
2020-2029,0.06,0.03,0.015,0.0,0.0,0.015,0.0,0.0,0.0,0.015,0.09,0.015,0.0,0.0,0.075,0.015,0.015,0.0,0.0,0.03,0.03,0.119,0.0,0.0,0.0,0.045,0.254,0.0,0.0,0.015,0.0,0.015,0.0,0.015,0.0,0.015,0.015,0.0,0.03,0.0,0.03,0.015,0.0,0.0,0.0,0.015,0.0,0.015,0.0,0.0
Total,0.021,0.013,0.008,0.133,0.051,0.014,0.005,0.017,0.025,0.014,0.04,0.011,0.026,0.012,0.015,0.015,0.021,0.013,0.005,0.016,0.013,0.043,0.026,0.025,0.017,0.017,0.067,0.003,0.013,0.015,0.016,0.014,0.012,0.028,0.013,0.01,0.008,0.018,0.024,0.011,0.026,0.004,0.004,0.009,0.02,0.021,0.019,0.009,0.005,0.014
