,0,1,2,3,4,5,6,7,8,9
1920-1929,3,0,5,0,24,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0
1950-1959,11,5,16,1,5,13,0,6,13,3
1960-1969,324,189,378,244,515,392,172,222,900,360
1970-1979,872,400,1027,1022,1050,776,376,707,964,988
1980-1989,1385,836,1169,1567,1315,1271,697,1194,1037,1198
1990-1999,573,703,728,622,609,721,739,813,513,653
2000-2009,393,445,475,301,250,369,855,818,257,484
2010-2019,456,1008,527,486,298,375,1230,690,202,340
2020-2029,27,8,7,45,5,18,10,10,3,7
Total,4044,3594,4332,4288,4071,3935,4079,4460,3889,4033
