,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.032,0.011,0.064,0.372,0.128,0.021,0.053,0.17,0.085,0.064
1970-1979,0.028,0.016,0.131,0.275,0.171,0.02,0.108,0.127,0.052,0.072
1980-1989,0.052,0.034,0.151,0.141,0.141,0.042,0.153,0.099,0.087,0.099
1990-1999,0.173,0.131,0.102,0.104,0.101,0.113,0.066,0.09,0.057,0.064
2000-2009,0.281,0.265,0.094,0.014,0.025,0.195,0.027,0.054,0.031,0.014
2010-2019,0.351,0.355,0.06,0.005,0.005,0.152,0.011,0.014,0.037,0.01
2020-2029,0.385,0.538,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0
Total,0.202,0.186,0.099,0.091,0.075,0.115,0.063,0.07,0.052,0.047
