,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
1960-1969,0.028,0.0,0.0,0.5,0.083,0.028,0.0,0.194,0.111,0.056
1970-1979,0.25,0.062,0.0,0.25,0.0,0.125,0.0,0.312,0.0,0.0
1980-1989,0.143,0.179,0.0,0.143,0.036,0.036,0.036,0.179,0.232,0.018
1990-1999,0.245,0.304,0.049,0.049,0.01,0.118,0.029,0.147,0.029,0.02
2000-2009,0.33,0.266,0.073,0.0,0.0,0.239,0.0,0.055,0.037,0.0
2010-2019,0.463,0.336,0.02,0.0,0.007,0.101,0.013,0.02,0.034,0.007
2020-2029,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
Total,0.303,0.257,0.034,0.074,0.015,0.122,0.015,0.101,0.067,0.013
