,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,73,260,229,187,252,474,114,26,91,42,27,160,475,371,60,115,73,193,153,88
1970-1979,130,478,287,901,770,1310,515,81,274,59,112,512,991,859,196,241,283,521,440,223
1980-1989,281,523,894,1303,1920,2728,1024,229,431,188,425,955,1512,1742,442,581,385,1165,1098,508
1990-1999,291,428,889,1713,1722,3311,1006,512,789,460,523,1156,1829,3204,730,738,809,1504,1097,656
2000-2009,275,318,703,1081,1188,2560,508,602,573,454,417,742,1263,4107,1140,814,1041,971,1031,684
2010-2019,404,248,1072,1086,1755,2831,580,1203,410,967,560,655,1529,4785,2351,827,1957,1489,1281,809
2020-2029,10,9,17,35,7,59,3,41,5,3,1,1,37,131,42,14,22,14,10,22
Total,1464,2264,4091,6306,7614,13273,3750,2694,2573,2173,2065,4181,7636,15199,4961,3330,4570,5857,5110,2990
