,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,0.0,0.0,0.0,0.031,0.469,0.0,0.156,0.0,0.0,0.031,0.0,0.0,0.0,0.25,0.0,0.062,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.014,0.0,0.068,0.055,0.0,0.068,0.0,0.041,0.0,0.123,0.014,0.027,0.014,0.082,0.356,0.0,0.0,0.096,0.041
1960-1969,0.021,0.006,0.031,0.024,0.013,0.04,0.052,0.065,0.133,0.005,0.061,0.016,0.011,0.066,0.101,0.146,0.043,0.018,0.055,0.093
1970-1979,0.029,0.014,0.036,0.081,0.015,0.068,0.072,0.049,0.15,0.01,0.08,0.017,0.009,0.013,0.042,0.105,0.028,0.014,0.089,0.079
1980-1989,0.029,0.019,0.037,0.069,0.029,0.052,0.066,0.058,0.133,0.012,0.077,0.02,0.004,0.019,0.022,0.075,0.042,0.021,0.118,0.099
1990-1999,0.035,0.016,0.03,0.047,0.027,0.05,0.038,0.059,0.142,0.021,0.081,0.029,0.024,0.016,0.018,0.088,0.043,0.019,0.068,0.149
2000-2009,0.037,0.04,0.035,0.046,0.02,0.037,0.028,0.038,0.125,0.026,0.041,0.078,0.015,0.014,0.016,0.062,0.036,0.026,0.065,0.216
2010-2019,0.027,0.021,0.03,0.048,0.023,0.025,0.019,0.057,0.128,0.03,0.041,0.098,0.04,0.012,0.009,0.059,0.03,0.073,0.076,0.154
2020-2029,0.221,0.0,0.043,0.086,0.007,0.007,0.0,0.021,0.086,0.007,0.086,0.014,0.0,0.021,0.007,0.014,0.0,0.007,0.264,0.107
Total,0.044,0.015,0.027,0.052,0.021,0.035,0.09,0.039,0.122,0.012,0.066,0.035,0.015,0.019,0.033,0.128,0.025,0.027,0.092,0.104
