,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,0.027,0.0,0.107,0.107,0.0,0.045,0.027,0.018,0.312,0.0,0.027,0.036,0.0,0.0,0.0,0.125,0.045,0.062,0.009,0.054
1960-1969,0.031,0.013,0.025,0.032,0.014,0.038,0.044,0.06,0.148,0.005,0.073,0.024,0.006,0.038,0.105,0.128,0.047,0.012,0.069,0.088
1970-1979,0.032,0.025,0.044,0.046,0.014,0.06,0.058,0.058,0.152,0.006,0.08,0.015,0.003,0.017,0.056,0.124,0.031,0.016,0.087,0.076
1980-1989,0.039,0.018,0.032,0.075,0.029,0.046,0.069,0.059,0.131,0.01,0.082,0.016,0.007,0.015,0.027,0.093,0.041,0.014,0.11,0.088
1990-1999,0.027,0.035,0.029,0.05,0.028,0.048,0.05,0.076,0.135,0.013,0.07,0.036,0.013,0.017,0.013,0.064,0.046,0.02,0.093,0.137
2000-2009,0.027,0.02,0.043,0.042,0.025,0.044,0.024,0.052,0.112,0.037,0.054,0.073,0.009,0.014,0.016,0.067,0.032,0.048,0.061,0.199
2010-2019,0.035,0.014,0.019,0.04,0.021,0.04,0.023,0.066,0.099,0.077,0.045,0.069,0.042,0.019,0.007,0.056,0.022,0.066,0.055,0.185
2020-2029,0.028,0.005,0.023,0.056,0.009,0.005,0.009,0.023,0.158,0.13,0.014,0.084,0.005,0.009,0.0,0.149,0.047,0.028,0.153,0.065
Total,0.031,0.016,0.04,0.056,0.018,0.041,0.038,0.051,0.156,0.035,0.056,0.044,0.01,0.016,0.028,0.101,0.039,0.033,0.08,0.111
