,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,2,9,7,4,10,10,3,6,0,0,2,22,77,14,1,11,8,20,20,2
1970-1979,93,214,225,629,790,1125,450,67,96,59,133,479,636,595,138,292,116,511,407,210
1980-1989,85,185,323,726,789,1177,625,81,202,89,219,697,620,990,202,346,127,487,481,285
1990-1999,115,83,329,645,617,1299,434,225,513,177,212,473,558,1113,291,205,149,579,443,306
2000-2009,119,100,346,443,441,1142,226,217,309,225,182,354,633,1488,645,271,347,411,388,296
2010-2019,116,78,373,304,672,927,155,696,121,250,260,248,440,1598,735,289,520,620,470,298
2020-2029,0,1,1,41,14,32,9,36,5,1,2,3,20,50,14,0,9,8,12,0
Total,530,670,1604,2792,3333,5712,1902,1328,1246,801,1010,2276,2984,5848,2026,1414,1276,2636,2221,1397
