,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.015,0.076,0.136,0.015,0.106,0.0,0.121,0.0,0.167,0.121,0.045,0.197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-1979,0.005,0.091,0.135,0.139,0.12,0.01,0.101,0.0,0.149,0.038,0.106,0.067,0.0,0.005,0.0,0.0,0.029,0.005,0.0,0.0
1980-1989,0.004,0.137,0.088,0.191,0.092,0.0,0.145,0.0,0.088,0.057,0.092,0.031,0.0,0.031,0.0,0.0,0.034,0.011,0.0,0.0
1990-1999,0.0,0.139,0.101,0.063,0.114,0.025,0.051,0.0,0.101,0.114,0.063,0.025,0.0,0.038,0.013,0.0,0.101,0.025,0.025,0.0
2000-2009,0.118,0.118,0.059,0.059,0.0,0.118,0.0,0.0,0.0,0.059,0.0,0.0,0.118,0.118,0.0,0.0,0.176,0.059,0.0,0.0
2010-2019,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.667
2020-2029,,,,,,,,,,,,,,,,,,,,
Total,0.008,0.115,0.11,0.135,0.102,0.009,0.112,0.0,0.115,0.065,0.085,0.058,0.003,0.022,0.002,0.0,0.041,0.011,0.003,0.003
