,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0
1960-1969,0.0,0.417,0.208,0.042,0.042,0.0,0.0,0.042,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.0
1970-1979,0.062,0.312,0.125,0.062,0.0,0.062,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.062,0.125,0.0,0.0,0.125,0.0
1980-1989,0.132,0.264,0.038,0.0,0.038,0.038,0.0,0.075,0.0,0.075,0.038,0.019,0.019,0.0,0.038,0.019,0.0,0.113,0.094
1990-1999,0.26,0.1,0.05,0.01,0.02,0.09,0.0,0.05,0.0,0.04,0.01,0.0,0.09,0.04,0.08,0.07,0.0,0.06,0.03
2000-2009,0.339,0.073,0.009,0.009,0.0,0.128,0.0,0.073,0.0,0.0,0.018,0.0,0.046,0.055,0.128,0.037,0.009,0.037,0.037
2010-2019,0.275,0.007,0.0,0.0,0.0,0.174,0.0,0.201,0.0,0.02,0.007,0.007,0.101,0.04,0.06,0.074,0.0,0.013,0.02
2020-2029,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
Total,0.147,0.158,0.214,0.014,0.011,0.055,0.0,0.049,0.0,0.029,0.008,0.01,0.028,0.078,0.048,0.078,0.001,0.053,0.02
