,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1920-1929,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.0,0.353,0.235,0.0,0.029,0.029,0.0,0.029,0.0,0.118,0.0,0.088,0.0,0.0,0.029,0.029,0.0,0.059,0.0
1970-1979,0.056,0.194,0.194,0.0,0.056,0.056,0.0,0.0,0.0,0.056,0.028,0.083,0.028,0.0,0.139,0.0,0.0,0.056,0.056
1980-1989,0.085,0.169,0.127,0.042,0.042,0.056,0.0,0.042,0.0,0.056,0.0,0.056,0.0,0.028,0.099,0.0,0.0,0.113,0.085
1990-1999,0.225,0.167,0.058,0.0,0.033,0.083,0.0,0.067,0.0,0.083,0.017,0.008,0.025,0.033,0.1,0.017,0.0,0.058,0.025
2000-2009,0.388,0.044,0.027,0.005,0.005,0.153,0.0,0.126,0.0,0.0,0.005,0.0,0.071,0.038,0.049,0.038,0.0,0.022,0.027
2010-2019,0.311,0.038,0.0,0.0,0.0,0.142,0.0,0.151,0.0,0.0,0.019,0.0,0.17,0.038,0.019,0.075,0.0,0.019,0.019
2020-2029,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.167,0.0,0.0,0.0,0.0,0.0
Total,0.154,0.121,0.143,0.006,0.021,0.169,0.0,0.052,0.0,0.039,0.009,0.03,0.078,0.038,0.054,0.02,0.0,0.041,0.026
