,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.222,0.0,0.111,0.111,0.0,0.0,0.0,0.444,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.2,0.3,0.0,0.0,0.0,0.0
1940-1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.2,0.0,0.0,0.4,0.0,0.0,0.0,0.0
1960-1969,0.005,0.023,0.009,0.009,0.0,0.0,0.0,0.063,0.312,0.009,0.014,0.023,0.009,0.131,0.081,0.19,0.072,0.018,0.014,0.018
1970-1979,0.006,0.079,0.0,0.006,0.018,0.0,0.0,0.043,0.244,0.006,0.012,0.055,0.03,0.024,0.122,0.177,0.073,0.018,0.03,0.055
1980-1989,0.008,0.117,0.0,0.01,0.035,0.0,0.0,0.033,0.217,0.018,0.035,0.045,0.031,0.014,0.033,0.108,0.09,0.059,0.02,0.127
1990-1999,0.039,0.09,0.0,0.012,0.034,0.0,0.0,0.044,0.116,0.06,0.029,0.088,0.051,0.018,0.016,0.048,0.054,0.063,0.011,0.227
2000-2009,0.059,0.065,0.001,0.014,0.031,0.0,0.0,0.008,0.041,0.071,0.002,0.125,0.046,0.001,0.003,0.016,0.025,0.112,0.002,0.377
2010-2019,0.055,0.035,0.0,0.013,0.027,0.0,0.0,0.012,0.029,0.092,0.002,0.15,0.065,0.001,0.003,0.007,0.012,0.181,0.002,0.313
2020-2029,0.06,0.06,0.0,0.015,0.015,0.0,0.0,0.015,0.03,0.179,0.0,0.119,0.0,0.0,0.0,0.015,0.015,0.179,0.0,0.299
Total,0.021,0.053,0.001,0.007,0.015,0.0,0.0,0.02,0.174,0.04,0.019,0.083,0.039,0.017,0.042,0.246,0.031,0.057,0.007,0.129
