,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,0,30,21,15,17,1,12,1,9,10,4,34,1,0,1,1,2,2,0,5
1970-1979,2,40,38,38,28,2,30,0,32,27,16,24,2,0,7,0,22,4,2,0
1980-1989,7,44,37,51,29,4,30,3,17,16,24,17,0,8,7,0,9,9,8,1
1990-1999,28,35,9,17,7,10,9,8,14,19,9,6,3,8,12,2,7,9,3,2
2000-2009,71,9,5,1,3,30,0,23,1,1,1,0,14,9,9,7,8,4,7,1
2010-2019,34,4,0,0,0,15,0,16,0,0,2,0,18,5,2,8,0,2,2,0
2020-2029,1,0,0,0,0,2,0,0,0,0,0,0,2,1,0,0,0,0,0,0
Total,143,162,111,122,84,65,81,52,73,73,56,81,40,31,38,18,48,30,22,9
