,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1920-1929,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,
1960-1969,0.005,0.126,0.208,0.072,0.072,0.005,0.058,0.005,0.058,0.053,0.072,0.184,0.0,0.0,0.005,0.0,0.024,0.024,0.005,0.024
1970-1979,0.006,0.14,0.14,0.134,0.128,0.006,0.057,0.003,0.125,0.065,0.065,0.06,0.0,0.003,0.006,0.0,0.033,0.012,0.009,0.009
1980-1989,0.034,0.141,0.099,0.093,0.097,0.023,0.131,0.013,0.099,0.055,0.072,0.034,0.013,0.008,0.042,0.004,0.023,0.017,0.004,0.0
1990-1999,0.155,0.131,0.038,0.058,0.041,0.089,0.045,0.021,0.045,0.041,0.021,0.021,0.034,0.072,0.041,0.031,0.034,0.048,0.024,0.01
2000-2009,0.311,0.05,0.009,0.0,0.023,0.123,0.0,0.096,0.005,0.032,0.005,0.009,0.055,0.096,0.073,0.037,0.032,0.027,0.018,0.0
2010-2019,0.292,0.046,0.005,0.003,0.005,0.223,0.0,0.164,0.0,0.008,0.018,0.0,0.066,0.046,0.023,0.072,0.01,0.005,0.015,0.0
2020-2029,0.333,0.0,0.083,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.083,0.0,0.0
Total,0.142,0.079,0.198,0.045,0.046,0.059,0.036,0.058,0.041,0.032,0.032,0.038,0.063,0.028,0.024,0.018,0.02,0.027,0.009,0.005
