,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.007,0.01,0.005,0.005,0.014,0.033,0.009,0.002,0.001,0.044,0.013,0.04,0.038,0.089,0.053,0.017,0.006,0.011,0.083,0.011,0.038,0.029,0.001,0.003,0.005,0.041,0.052,0.01,0.019,0.011,0.005,0.028,0.008,0.036,0.002,0.025,0.024,0.007,0.003,0.021,0.027,0.004,0.024,0.001,0.018,0.003,0.034,0.014,0.005,0.01
1970-1979,0.009,0.008,0.001,0.008,0.018,0.032,0.013,0.004,0.001,0.033,0.015,0.042,0.018,0.091,0.043,0.011,0.015,0.002,0.055,0.01,0.053,0.041,0.003,0.003,0.008,0.035,0.076,0.008,0.029,0.01,0.002,0.026,0.019,0.045,0.002,0.014,0.002,0.006,0.005,0.016,0.022,0.008,0.035,0.003,0.024,0.013,0.031,0.019,0.006,0.005
1980-1989,0.013,0.01,0.005,0.009,0.018,0.032,0.011,0.008,0.003,0.034,0.009,0.033,0.014,0.09,0.05,0.02,0.011,0.001,0.036,0.016,0.04,0.059,0.003,0.003,0.006,0.037,0.066,0.009,0.026,0.01,0.002,0.016,0.015,0.043,0.002,0.012,0.001,0.009,0.004,0.015,0.019,0.011,0.042,0.005,0.035,0.01,0.034,0.03,0.007,0.007
1990-1999,0.014,0.014,0.003,0.014,0.025,0.038,0.012,0.008,0.004,0.036,0.015,0.037,0.015,0.087,0.06,0.031,0.012,0.001,0.032,0.015,0.046,0.048,0.004,0.005,0.005,0.031,0.059,0.011,0.021,0.011,0.004,0.014,0.013,0.035,0.004,0.021,0.003,0.014,0.001,0.011,0.016,0.006,0.03,0.005,0.019,0.013,0.041,0.02,0.007,0.01
2000-2009,0.014,0.029,0.001,0.019,0.021,0.039,0.01,0.008,0.008,0.038,0.008,0.032,0.008,0.067,0.089,0.04,0.007,0.002,0.023,0.019,0.041,0.044,0.002,0.009,0.004,0.03,0.046,0.019,0.017,0.007,0.005,0.011,0.007,0.027,0.002,0.028,0.001,0.02,0.001,0.012,0.01,0.007,0.038,0.006,0.017,0.017,0.057,0.015,0.006,0.01
2010-2019,0.011,0.024,0.001,0.031,0.02,0.043,0.013,0.006,0.009,0.031,0.007,0.033,0.006,0.065,0.066,0.034,0.008,0.001,0.026,0.013,0.03,0.048,0.003,0.039,0.004,0.032,0.044,0.016,0.017,0.009,0.01,0.01,0.005,0.019,0.001,0.016,0.004,0.022,0.001,0.015,0.01,0.005,0.036,0.031,0.014,0.008,0.056,0.018,0.008,0.019
2020-2029,0.002,0.002,0.0,0.031,0.014,0.075,0.012,0.002,0.0,0.043,0.006,0.029,0.014,0.108,0.06,0.064,0.002,0.0,0.037,0.004,0.048,0.021,0.0,0.012,0.0,0.041,0.023,0.002,0.008,0.008,0.039,0.037,0.0,0.021,0.0,0.002,0.0,0.035,0.0,0.023,0.017,0.006,0.004,0.008,0.017,0.002,0.054,0.019,0.002,0.043
Total,0.01,0.014,0.002,0.017,0.019,0.042,0.011,0.005,0.004,0.037,0.01,0.035,0.016,0.085,0.06,0.031,0.009,0.003,0.042,0.013,0.042,0.041,0.002,0.011,0.005,0.035,0.052,0.011,0.019,0.01,0.009,0.02,0.01,0.032,0.002,0.017,0.005,0.016,0.002,0.016,0.017,0.007,0.03,0.008,0.021,0.009,0.044,0.019,0.006,0.015
