,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,6,1,0,0,0,6,1,0,0,10,0,5,0,22,0,0,0,0,7,6,4,5,0,0,1,1,1,0,0,5,0,9,1,3,0,0,0,3,0,0,5,0,5,0,0,3,1,0,0,1
1960-1969,55,50,54,22,93,132,80,13,16,199,25,253,182,567,229,82,47,390,440,51,307,211,57,25,30,223,382,14,128,76,10,270,88,224,16,44,24,38,34,96,140,55,131,6,99,20,179,116,50,50
1970-1979,117,103,30,40,160,345,161,97,35,304,173,532,259,1099,434,150,171,99,547,125,581,546,21,42,98,499,920,112,281,150,27,256,93,454,29,124,40,81,85,187,313,226,353,25,306,44,290,191,51,85
1980-1989,172,63,16,78,219,286,108,138,54,348,102,381,90,1106,484,204,124,36,542,171,653,720,45,35,118,367,777,99,351,141,17,199,223,396,17,88,27,95,45,204,207,138,639,31,377,76,361,312,62,114
1990-1999,116,190,9,64,217,298,119,68,28,264,102,246,64,696,459,203,98,10,211,109,337,456,45,34,67,301,485,92,237,73,30,104,126,292,46,82,17,122,4,128,134,45,317,15,145,42,248,167,86,103
2000-2009,72,196,5,236,151,277,64,77,42,278,70,288,72,503,703,240,72,14,158,143,331,304,15,64,17,213,337,198,137,67,16,87,60,241,11,152,13,152,1,102,66,37,234,44,129,182,460,158,29,83
2010-2019,85,118,1,193,104,205,53,12,20,82,20,99,16,286,254,175,56,3,83,40,136,183,15,134,28,84,185,67,52,17,93,44,34,109,2,51,0,99,1,51,36,22,133,127,56,20,130,46,21,48
2020-2029,10,2,0,18,4,7,3,0,0,9,1,21,0,17,5,6,0,0,8,1,2,20,0,3,0,3,18,1,5,6,17,0,0,0,0,1,0,4,0,0,1,0,6,0,0,1,1,8,3,3
Total,633,723,115,651,948,1556,589,405,195,1494,493,1825,683,4296,2568,1060,568,552,1996,646,2351,2445,198,337,359,1691,3105,583,1191,535,210,969,625,1719,121,542,121,594,170,768,902,523,1818,248,1112,388,1670,998,302,487
