,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.0,0.106,0.0,0.0,0.032,0.032,0.0,0.043,0.0,0.053,0.0,0.032,0.011,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.074,0.0,0.011,0.0,0.032,0.032,0.011,0.0,0.0,0.117,0.0,0.011,0.021,0.011,0.043,0.053,0.0,0.0,0.074,0.0,0.0,0.032,0.0,0.032,0.053,0.021,0.0,0.0,0.0
1970-1979,0.0,0.0,0.1,0.044,0.008,0.016,0.0,0.004,0.016,0.0,0.056,0.0,0.02,0.016,0.0,0.016,0.0,0.028,0.064,0.0,0.0,0.0,0.0,0.0,0.016,0.052,0.004,0.02,0.008,0.028,0.088,0.0,0.008,0.024,0.004,0.008,0.064,0.0,0.0,0.143,0.004,0.0,0.024,0.004,0.02,0.052,0.036,0.0,0.0,0.008
1980-1989,0.0,0.014,0.046,0.042,0.0,0.026,0.002,0.008,0.028,0.012,0.028,0.0,0.016,0.018,0.002,0.016,0.0,0.022,0.07,0.002,0.006,0.02,0.002,0.008,0.014,0.076,0.012,0.004,0.01,0.028,0.117,0.01,0.0,0.038,0.022,0.008,0.048,0.002,0.012,0.072,0.014,0.006,0.016,0.02,0.02,0.022,0.044,0.0,0.0,0.002
1990-1999,0.008,0.011,0.031,0.028,0.011,0.025,0.0,0.019,0.02,0.008,0.022,0.017,0.011,0.005,0.002,0.03,0.003,0.005,0.039,0.0,0.016,0.047,0.02,0.035,0.058,0.027,0.009,0.003,0.028,0.016,0.06,0.039,0.002,0.025,0.036,0.003,0.049,0.013,0.025,0.042,0.024,0.019,0.008,0.041,0.02,0.009,0.009,0.005,0.0,0.016
2000-2009,0.018,0.0,0.002,0.027,0.018,0.013,0.0,0.05,0.005,0.002,0.005,0.054,0.0,0.002,0.013,0.029,0.016,0.005,0.004,0.0,0.036,0.088,0.02,0.065,0.068,0.004,0.002,0.0,0.032,0.013,0.002,0.067,0.0,0.0,0.034,0.002,0.014,0.02,0.05,0.0,0.052,0.029,0.002,0.094,0.032,0.002,0.0,0.002,0.0,0.007
2010-2019,0.027,0.001,0.0,0.034,0.055,0.007,0.004,0.07,0.011,0.001,0.004,0.137,0.004,0.001,0.001,0.023,0.019,0.0,0.0,0.0,0.025,0.095,0.021,0.044,0.045,0.001,0.003,0.0,0.042,0.0,0.001,0.063,0.0,0.0,0.016,0.0,0.001,0.036,0.03,0.0,0.06,0.027,0.001,0.068,0.003,0.0,0.0,0.004,0.0,0.011
2020-2029,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.154,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.231,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.019,0.004,0.041,0.025,0.013,0.017,0.005,0.033,0.018,0.003,0.024,0.041,0.012,0.007,0.003,0.016,0.006,0.009,0.034,0.0,0.012,0.068,0.009,0.045,0.04,0.027,0.009,0.005,0.017,0.012,0.055,0.059,0.003,0.015,0.018,0.009,0.033,0.021,0.017,0.047,0.033,0.012,0.012,0.032,0.018,0.02,0.016,0.002,0.0,0.006
