,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,11,7,6,7,0,0,5,0,3,10,0,1,0,0,0,5,4,0,2,1,5,2,0,0,3,3,3,0,0,0,1,0,0,3,0,0,0,0,4,3,0,1,0,0,0,1,0,3,0,0
1970-1979,22,36,16,0,1,0,16,11,13,25,0,0,1,4,1,14,4,2,6,1,13,9,7,4,4,5,5,0,2,0,4,0,0,6,0,7,0,2,2,1,0,5,0,0,0,2,0,0,0,0
1980-1989,59,36,35,10,10,0,24,21,38,23,5,4,7,7,4,14,14,5,19,11,11,22,14,8,13,10,8,6,0,3,9,1,1,8,0,11,3,1,4,6,7,2,0,1,6,0,0,1,1,0
1990-1999,38,27,25,30,26,11,31,18,17,20,25,22,15,37,12,14,13,18,16,23,6,6,10,19,16,13,7,16,7,12,3,8,13,5,5,3,10,10,2,6,7,2,2,1,5,1,3,0,0,0
2000-2009,1,0,2,49,52,30,8,15,2,1,37,36,29,38,28,3,3,18,0,19,1,0,7,16,7,18,0,28,10,16,1,11,11,1,10,3,20,4,1,1,0,0,9,7,1,0,1,0,0,0
2010-2019,1,0,0,69,50,100,1,25,1,0,46,32,44,33,51,3,8,31,0,12,0,0,0,17,5,2,3,22,40,20,1,26,15,1,20,0,18,8,0,2,1,0,14,1,1,0,3,3,0,0
2020-2029,0,0,0,2,0,1,0,0,0,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,132,106,84,167,139,142,85,90,74,79,116,97,97,120,97,53,46,74,43,67,36,39,38,64,48,51,26,72,59,51,19,47,40,24,36,24,51,25,13,19,15,10,25,10,13,4,7,7,1,0
