,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.154,0.108,0.077,0.0,0.0,0.0,0.077,0.0,0.046,0.154,0.0,0.0,0.0,0.0,0.0,0.046,0.062,0.0,0.031,0.0,0.077,0.031,0.0,0.0,0.0,0.031,0.046,0.0,0.0,0.0,0.015,0.0,0.0,0.046,0.0,0.0,0.0
1970-1979,0.094,0.17,0.066,0.0,0.005,0.0,0.075,0.052,0.061,0.118,0.0,0.0,0.005,0.019,0.0,0.042,0.014,0.005,0.028,0.005,0.061,0.042,0.033,0.0,0.0,0.0,0.024,0.0,0.0,0.0,0.019,0.0,0.0,0.028,0.0,0.033,0.0
1980-1989,0.12,0.098,0.082,0.0,0.014,0.0,0.063,0.052,0.104,0.063,0.0,0.0,0.003,0.016,0.0,0.027,0.038,0.008,0.052,0.03,0.03,0.06,0.035,0.0,0.0,0.003,0.014,0.0,0.0,0.008,0.025,0.0,0.003,0.022,0.0,0.027,0.005
1990-1999,0.065,0.097,0.054,0.0,0.039,0.0,0.093,0.043,0.061,0.072,0.0,0.0,0.007,0.075,0.0,0.025,0.029,0.032,0.057,0.068,0.022,0.018,0.036,0.0,0.0,0.0,0.011,0.004,0.0,0.029,0.011,0.0,0.025,0.018,0.0,0.011,0.0
2000-2009,0.0,0.0,0.0,0.0,0.029,0.0,0.103,0.0,0.029,0.015,0.0,0.0,0.132,0.206,0.0,0.0,0.0,0.029,0.0,0.118,0.015,0.0,0.103,0.015,0.0,0.015,0.0,0.0,0.0,0.059,0.015,0.0,0.074,0.0,0.0,0.044,0.0
2010-2019,0.0,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.067,0.133,0.0,0.067,0.0,0.133,0.0,0.067,0.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.133,0.0,0.0,0.133,0.067,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.072,0.079,0.046,0.0,0.026,0.0,0.069,0.024,0.061,0.07,0.0,0.0,0.036,0.075,0.0,0.035,0.024,0.035,0.028,0.048,0.034,0.025,0.035,0.014,0.0,0.008,0.016,0.001,0.0,0.038,0.014,0.0,0.039,0.03,0.0,0.019,0.001
