,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.129,0.103,0.077,0.0,0.0,0.0,0.082,0.036,0.077,0.103,0.0,0.0,0.0,0.005,0.0,0.077,0.067,0.0,0.031,0.0,0.036,0.036,0.015,0.0,0.0,0.021,0.026,0.0,0.0,0.0,0.031,0.0,0.0,0.031,0.0,0.015,0.0
1970-1979,0.115,0.154,0.085,0.0,0.003,0.0,0.069,0.058,0.063,0.113,0.0,0.0,0.0,0.005,0.0,0.036,0.038,0.0,0.044,0.003,0.033,0.036,0.038,0.0,0.0,0.0,0.027,0.0,0.0,0.0,0.033,0.0,0.0,0.022,0.0,0.025,0.0
1980-1989,0.104,0.137,0.099,0.0,0.009,0.0,0.054,0.078,0.072,0.048,0.0,0.0,0.006,0.012,0.0,0.033,0.03,0.006,0.042,0.009,0.045,0.051,0.042,0.0,0.003,0.003,0.015,0.0,0.0,0.009,0.036,0.0,0.006,0.021,0.0,0.024,0.009
1990-1999,0.07,0.11,0.081,0.0,0.029,0.0,0.11,0.041,0.041,0.041,0.0,0.0,0.0,0.052,0.0,0.041,0.035,0.029,0.064,0.058,0.017,0.012,0.023,0.0,0.0,0.012,0.023,0.006,0.0,0.035,0.029,0.0,0.017,0.017,0.0,0.006,0.0
2000-2009,0.0,0.0,0.0,0.0,0.048,0.0,0.095,0.0,0.0,0.0,0.0,0.0,0.143,0.19,0.0,0.048,0.0,0.0,0.0,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024,0.024,0.0,0.071,0.0,0.0,0.071,0.0
2010-2019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-2029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total,0.06,0.12,0.049,0.0,0.013,0.0,0.059,0.03,0.036,0.091,0.0,0.0,0.045,0.038,0.0,0.057,0.024,0.005,0.026,0.075,0.019,0.019,0.065,0.024,0.0,0.005,0.037,0.001,0.0,0.033,0.022,0.0,0.014,0.013,0.0,0.02,0.001
