,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1930-1939,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.109,0.0,0.048,0.048,0.014,0.0,0.034,0.007,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.075,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.122,0.102,0.02,0.0,0.0,0.007,0.0,0.007,0.0,0.0,0.0,0.007,0.0,0.027,0.095,0.129,0.054,0.0,0.0,0.0,0.075,0.0,0.0,0.0
1970-1979,0.102,0.0,0.028,0.037,0.019,0.019,0.019,0.009,0.0,0.0,0.019,0.0,0.009,0.019,0.009,0.065,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.046,0.167,0.13,0.019,0.009,0.009,0.009,0.0,0.009,0.0,0.0,0.019,0.0,0.009,0.009,0.009,0.102,0.046,0.0,0.009,0.0,0.028,0.0,0.0,0.009
1980-1989,0.089,0.0,0.055,0.068,0.004,0.004,0.034,0.051,0.0,0.0,0.059,0.008,0.017,0.021,0.013,0.034,0.008,0.021,0.0,0.013,0.0,0.0,0.004,0.081,0.11,0.072,0.034,0.038,0.004,0.004,0.0,0.008,0.0,0.0,0.0,0.0,0.008,0.013,0.004,0.021,0.038,0.0,0.021,0.0,0.03,0.0,0.008,0.0
1990-1999,0.066,0.0,0.036,0.075,0.069,0.024,0.016,0.031,0.0,0.0,0.094,0.059,0.054,0.029,0.029,0.021,0.023,0.035,0.0,0.019,0.0,0.0,0.003,0.043,0.029,0.024,0.017,0.021,0.01,0.01,0.0,0.016,0.014,0.0,0.009,0.0,0.009,0.014,0.002,0.023,0.038,0.0,0.012,0.005,0.012,0.0,0.009,0.0
2000-2009,0.005,0.0,0.003,0.108,0.117,0.048,0.001,0.016,0.0,0.0,0.07,0.084,0.074,0.033,0.052,0.007,0.011,0.056,0.0,0.03,0.0,0.0,0.003,0.033,0.01,0.012,0.0,0.041,0.023,0.032,0.0,0.029,0.026,0.0,0.023,0.0,0.029,0.004,0.001,0.001,0.004,0.0,0.003,0.008,0.0,0.0,0.001,0.0
2010-2019,0.006,0.0,0.001,0.074,0.074,0.121,0.0,0.016,0.0,0.0,0.07,0.068,0.07,0.035,0.078,0.005,0.005,0.048,0.0,0.023,0.0,0.0,0.001,0.015,0.007,0.009,0.004,0.024,0.06,0.028,0.0,0.033,0.029,0.001,0.04,0.001,0.012,0.006,0.002,0.002,0.007,0.0,0.012,0.003,0.0,0.0,0.007,0.004
2020-2029,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.062,0.0,0.0,0.031,0.0,0.188,0.031,0.094,0.0,0.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062,0.0,0.0,0.031,0.0,0.219,0.0,0.0,0.0,0.0,0.031,0.031,0.0,0.031,0.031,0.0,0.0,0.0,0.0
Total,0.034,0.0,0.017,0.078,0.072,0.062,0.009,0.022,0.0,0.0,0.068,0.058,0.058,0.03,0.049,0.017,0.01,0.04,0.0,0.022,0.0,0.0,0.002,0.031,0.034,0.028,0.009,0.027,0.03,0.022,0.0,0.024,0.02,0.0,0.025,0.001,0.015,0.009,0.007,0.018,0.019,0.0,0.01,0.005,0.01,0.0,0.005,0.002
