,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1960-1969,0.051,0.0,0.0,0.103,0.0,0.0,0.051,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.026,0.077,0.103,0.026,0.0,0.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,0.026,0.103,0.128,0.051,0.0,0.0,0.0,0.026,0.0,0.0,0.0
1970-1979,0.111,0.0,0.083,0.0,0.028,0.028,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.139,0.139,0.056,0.0,0.0,0.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.028,0.111,0.083,0.0,0.028,0.0,0.0,0.0,0.0,0.028
1980-1989,0.069,0.0,0.056,0.097,0.0,0.0,0.042,0.042,0.0,0.0,0.056,0.028,0.014,0.0,0.028,0.028,0.014,0.028,0.0,0.028,0.0,0.0,0.014,0.069,0.125,0.069,0.056,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014,0.014,0.0,0.014,0.014,0.056,0.0,0.0,0.014,0.0,0.0,0.0,0.0
1990-1999,0.091,0.0,0.025,0.066,0.025,0.017,0.017,0.025,0.0,0.0,0.091,0.041,0.066,0.025,0.025,0.025,0.05,0.058,0.0,0.008,0.0,0.0,0.008,0.017,0.05,0.017,0.041,0.017,0.008,0.017,0.0,0.008,0.017,0.0,0.017,0.0,0.017,0.017,0.008,0.008,0.05,0.0,0.008,0.0,0.008,0.0,0.017,0.0
2000-2009,0.005,0.0,0.005,0.109,0.109,0.065,0.0,0.011,0.0,0.0,0.076,0.071,0.054,0.043,0.098,0.005,0.005,0.043,0.0,0.005,0.0,0.0,0.0,0.027,0.011,0.027,0.0,0.043,0.022,0.016,0.0,0.016,0.022,0.0,0.0,0.0,0.054,0.011,0.0,0.0,0.005,0.0,0.011,0.027,0.0,0.0,0.0,0.0
2010-2019,0.0,0.0,0.0,0.038,0.066,0.094,0.0,0.038,0.0,0.0,0.085,0.085,0.066,0.028,0.123,0.0,0.0,0.047,0.0,0.009,0.0,0.0,0.0,0.009,0.009,0.009,0.009,0.019,0.057,0.066,0.0,0.019,0.028,0.0,0.038,0.0,0.038,0.0,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009,0.0
2020-2029,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.041,0.0,0.021,0.052,0.028,0.046,0.014,0.018,0.0,0.0,0.104,0.028,0.046,0.012,0.058,0.033,0.009,0.022,0.0,0.01,0.0,0.0,0.003,0.036,0.114,0.035,0.016,0.012,0.011,0.012,0.0,0.012,0.008,0.0,0.069,0.002,0.015,0.007,0.02,0.033,0.031,0.0,0.006,0.005,0.004,0.0,0.003,0.003
