,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0
1930-1939,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1940-1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1950-1959,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
1960-1969,0.0,0.054,0.0,0.009,0.0,0.136,0.0,0.0,0.005,0.054,0.068,0.0,0.023,0.0,0.0,0.005,0.0,0.005,0.041,0.0,0.0,0.068,0.0,0.009,0.0,0.0,0.136,0.0,0.0,0.0,0.104,0.009,0.0,0.0,0.005,0.09,0.027,0.005,0.0,0.0,0.009,0.005,0.0,0.009,0.1,0.0,0.0,0.0,0.0,0.027
1970-1979,0.012,0.03,0.0,0.006,0.024,0.152,0.006,0.012,0.012,0.018,0.091,0.012,0.012,0.0,0.0,0.061,0.018,0.0,0.03,0.0,0.006,0.03,0.0,0.006,0.012,0.0,0.104,0.0,0.012,0.0,0.085,0.012,0.0,0.0,0.0,0.03,0.012,0.006,0.006,0.0,0.006,0.006,0.0,0.012,0.146,0.0,0.0,0.0,0.0,0.006
1980-1989,0.0,0.045,0.0,0.035,0.004,0.102,0.0,0.018,0.01,0.029,0.033,0.008,0.027,0.0,0.004,0.08,0.01,0.002,0.049,0.0,0.006,0.08,0.0,0.02,0.018,0.0,0.029,0.0,0.02,0.004,0.096,0.051,0.0,0.0,0.006,0.004,0.027,0.008,0.037,0.0,0.02,0.004,0.0,0.018,0.082,0.0,0.0,0.004,0.0,0.008
1990-1999,0.01,0.034,0.0,0.027,0.013,0.038,0.0,0.032,0.019,0.013,0.018,0.032,0.018,0.0,0.004,0.048,0.008,0.0,0.034,0.0,0.014,0.08,0.012,0.065,0.035,0.0,0.021,0.0,0.031,0.002,0.07,0.075,0.0,0.0,0.017,0.004,0.016,0.019,0.028,0.0,0.043,0.012,0.0,0.06,0.027,0.0,0.001,0.007,0.0,0.013
2000-2009,0.023,0.003,0.0,0.027,0.024,0.012,0.0,0.056,0.011,0.001,0.006,0.062,0.001,0.0,0.013,0.03,0.01,0.0,0.003,0.0,0.028,0.107,0.02,0.079,0.038,0.0,0.001,0.0,0.05,0.001,0.004,0.065,0.0,0.0,0.025,0.001,0.001,0.028,0.046,0.0,0.055,0.028,0.001,0.113,0.021,0.0,0.0,0.002,0.0,0.006
2010-2019,0.035,0.004,0.0,0.022,0.052,0.007,0.003,0.072,0.008,0.001,0.004,0.144,0.004,0.0,0.006,0.018,0.015,0.0,0.001,0.0,0.017,0.083,0.023,0.064,0.035,0.0,0.004,0.0,0.044,0.0,0.006,0.063,0.0,0.0,0.022,0.001,0.001,0.036,0.026,0.0,0.061,0.023,0.0,0.075,0.006,0.0,0.0,0.006,0.0,0.006
2020-2029,0.134,0.015,0.0,0.03,0.0,0.0,0.0,0.134,0.0,0.0,0.0,0.134,0.0,0.0,0.015,0.015,0.015,0.0,0.0,0.0,0.0,0.03,0.015,0.06,0.045,0.0,0.015,0.0,0.015,0.0,0.0,0.06,0.0,0.0,0.06,0.0,0.0,0.015,0.015,0.0,0.104,0.06,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.019,0.017,0.0,0.014,0.011,0.126,0.001,0.03,0.006,0.011,0.04,0.036,0.008,0.0,0.004,0.023,0.007,0.001,0.014,0.0,0.025,0.053,0.006,0.118,0.027,0.0,0.028,0.009,0.016,0.001,0.052,0.049,0.0,0.0,0.012,0.012,0.008,0.011,0.014,0.0,0.027,0.012,0.0,0.028,0.117,0.0,0.0,0.002,0.0,0.006
