,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1930-1939,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1940-1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1950-1959,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1960-1969,15,10,5,4,0,0,10,3,6,21,1,0,0,0,0,16,3,0,2,1,5,8,3,1,3,4,5,0,0,0,2,1,0,3,0,1,0,1,20,5,2,2,0,0,1,2,0,0,0,0
1970-1979,31,32,26,0,1,1,11,19,17,20,0,0,3,2,1,16,22,3,5,0,4,4,23,6,5,4,9,0,0,0,9,1,0,8,0,9,0,2,3,4,3,6,1,0,0,0,0,2,1,0
1980-1989,28,24,21,7,5,0,35,16,22,11,4,2,2,2,2,11,7,2,15,9,8,11,7,5,9,6,9,1,0,0,8,0,1,9,0,4,1,1,4,1,4,1,0,3,0,1,0,1,1,0
1990-1999,19,8,15,8,5,2,10,5,7,6,11,5,9,7,3,6,8,8,7,6,3,1,2,2,6,2,7,2,1,3,1,1,5,5,2,2,2,3,1,1,6,0,1,0,1,0,2,0,0,0
2000-2009,1,0,1,20,22,12,1,2,1,1,14,13,16,10,18,1,1,8,0,2,0,0,2,6,2,5,0,8,4,4,0,3,5,0,0,1,10,2,0,0,1,0,2,5,0,0,0,0,0,0
2010-2019,0,0,0,4,7,10,0,4,0,0,9,9,7,4,13,0,0,5,0,1,0,0,0,1,1,1,1,2,6,7,0,2,4,0,4,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0
2020-2029,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Total,94,74,68,43,40,26,67,50,53,59,40,29,38,25,38,50,41,26,29,19,20,24,37,21,27,22,31,13,11,14,20,8,15,25,9,17,17,9,29,11,16,9,4,8,2,3,3,3,2,0
