,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
1920-1929,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1930-1939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1940-1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1950-1959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960-1969,0.0,0.167,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1970-1979,0.085,0.104,0.065,0.0,0.0,0.0,0.065,0.03,0.06,0.065,0.005,0.0,0.01,0.005,0.005,0.025,0.04,0.005,0.065,0.01,0.045,0.075,0.02,0.0,0.01,0.005,0.025,0.0,0.005,0.02,0.03,0.0,0.0,0.02,0.0,0.04,0.0,0.02,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0
1980-1989,0.092,0.058,0.071,0.0,0.012,0.0,0.054,0.067,0.062,0.062,0.008,0.008,0.012,0.008,0.0,0.017,0.029,0.004,0.046,0.008,0.017,0.062,0.054,0.017,0.012,0.017,0.021,0.008,0.0,0.004,0.038,0.0,0.017,0.017,0.0,0.025,0.004,0.004,0.004,0.012,0.008,0.021,0.0,0.0,0.008,0.004,0.0,0.0,0.0,0.004
1990-1999,0.071,0.05,0.055,0.046,0.067,0.017,0.025,0.046,0.025,0.013,0.025,0.042,0.029,0.055,0.017,0.013,0.034,0.021,0.013,0.038,0.0,0.017,0.017,0.059,0.029,0.017,0.021,0.025,0.004,0.008,0.008,0.008,0.004,0.0,0.004,0.021,0.0,0.013,0.0,0.017,0.008,0.0,0.0,0.0,0.004,0.004,0.0,0.004,0.0,0.004
2000-2009,0.0,0.0,0.0,0.077,0.068,0.06,0.0,0.026,0.009,0.0,0.06,0.085,0.145,0.051,0.034,0.013,0.009,0.068,0.0,0.034,0.004,0.0,0.009,0.026,0.017,0.021,0.0,0.034,0.009,0.026,0.0,0.017,0.021,0.0,0.03,0.0,0.013,0.004,0.004,0.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,0.0,0.004
2010-2019,0.0,0.0,0.0,0.048,0.064,0.132,0.0,0.016,0.0,0.0,0.052,0.076,0.068,0.044,0.116,0.0,0.012,0.044,0.0,0.024,0.0,0.0,0.0,0.016,0.004,0.004,0.008,0.04,0.06,0.024,0.0,0.028,0.028,0.0,0.036,0.0,0.016,0.012,0.004,0.0,0.012,0.0,0.004,0.004,0.0,0.0,0.004,0.0,0.0,0.0
2020-2029,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.143,0.0,0.0,0.143,0.0,0.286,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Total,0.035,0.054,0.027,0.045,0.03,0.03,0.044,0.047,0.022,0.02,0.042,0.03,0.079,0.023,0.045,0.01,0.041,0.02,0.041,0.016,0.009,0.022,0.014,0.017,0.01,0.033,0.011,0.015,0.011,0.012,0.011,0.008,0.01,0.029,0.01,0.012,0.005,0.008,0.003,0.007,0.025,0.004,0.004,0.001,0.002,0.002,0.001,0.001,0.0,0.002
