,0,1,2,3,4,5,6,7,8,9
1920-1929,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.333,0.0,0.444
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.278,0.0,0.0,0.056,0.111,0.222,0.056,0.167,0.0,0.111
1960-1969,0.075,0.058,0.07,0.074,0.087,0.081,0.187,0.096,0.068,0.204
1970-1979,0.094,0.054,0.108,0.089,0.106,0.053,0.151,0.102,0.122,0.121
1980-1989,0.085,0.057,0.104,0.112,0.076,0.075,0.106,0.113,0.168,0.104
1990-1999,0.084,0.1,0.115,0.111,0.1,0.081,0.093,0.102,0.077,0.135
2000-2009,0.102,0.168,0.089,0.083,0.121,0.121,0.088,0.07,0.067,0.091
2010-2019,0.1,0.198,0.095,0.06,0.082,0.183,0.068,0.077,0.056,0.08
2020-2029,0.029,0.114,0.029,0.343,0.0,0.029,0.171,0.057,0.114,0.114
Total,0.119,0.083,0.068,0.103,0.076,0.094,0.102,0.124,0.075,0.156
