,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.25,0.125,0.25,0.125,0.125,0.125
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,,,,,,,,,,
1960-1969,0.066,0.052,0.045,0.152,0.088,0.077,0.124,0.094,0.105,0.197
1970-1979,0.095,0.04,0.061,0.126,0.088,0.109,0.101,0.127,0.119,0.132
1980-1989,0.092,0.049,0.076,0.108,0.088,0.139,0.109,0.129,0.106,0.104
1990-1999,0.117,0.105,0.082,0.087,0.086,0.105,0.119,0.117,0.098,0.084
2000-2009,0.104,0.146,0.123,0.073,0.11,0.055,0.114,0.093,0.106,0.076
2010-2019,0.106,0.197,0.179,0.067,0.089,0.054,0.093,0.075,0.086,0.055
2020-2029,0.041,0.165,0.182,0.083,0.058,0.033,0.099,0.19,0.091,0.058
Total,0.078,0.094,0.094,0.087,0.107,0.087,0.126,0.119,0.104,0.104
