,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.333,0.333,0.0,0.0,0.0,0.333
1960-1969,0.064,0.01,0.0,0.176,0.118,0.142,0.034,0.147,0.069,0.24
1970-1979,0.055,0.003,0.0,0.12,0.122,0.203,0.003,0.159,0.117,0.219
1980-1989,0.079,0.003,0.0,0.102,0.09,0.24,0.02,0.15,0.15,0.167
1990-1999,0.096,0.017,0.0,0.09,0.073,0.169,0.073,0.124,0.185,0.174
2000-2009,0.093,0.023,0.0,0.07,0.163,0.07,0.209,0.0,0.209,0.163
2010-2019,0.143,0.0,0.0,0.143,0.286,0.0,0.0,0.0,0.286,0.143
2020-2029,,,,,,,,,,
Total,0.076,0.008,0.0,0.1,0.169,0.165,0.048,0.083,0.145,0.206
