,0,1,2,3,4,5,6,7,8,9
1920-1929,,,,,,,,,,
1930-1939,,,,,,,,,,
1940-1949,,,,,,,,,,
1950-1959,0.0,0.0,0.0,0.0,0.5,0.25,0.0,0.0,0.0,0.25
1960-1969,0.051,0.004,0.0,0.138,0.135,0.158,0.043,0.13,0.104,0.238
1970-1979,0.067,0.002,0.0,0.103,0.129,0.206,0.012,0.162,0.122,0.197
1980-1989,0.07,0.002,0.001,0.097,0.081,0.247,0.015,0.174,0.157,0.156
1990-1999,0.094,0.008,0.001,0.1,0.094,0.183,0.048,0.137,0.16,0.176
2000-2009,0.139,0.028,0.0,0.079,0.181,0.069,0.106,0.028,0.199,0.171
2010-2019,0.158,0.0,0.0,0.053,0.158,0.053,0.14,0.035,0.175,0.228
2020-2029,,,,,,,,,,
Total,0.083,0.006,0.0,0.081,0.182,0.167,0.052,0.095,0.131,0.202
