,0,1,2,3,4,5,6,7,8,9
1920-1929,0.0,0.0,0.0,0.0,0.0,0.111,0.0,0.0,0.222,0.667
1930-1939,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.3,0.5
1940-1949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
1950-1959,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.4
1960-1969,0.027,0.036,0.032,0.113,0.059,0.005,0.054,0.045,0.33,0.299
1970-1979,0.122,0.079,0.0,0.104,0.024,0.006,0.091,0.055,0.171,0.348
1980-1989,0.233,0.094,0.029,0.082,0.07,0.01,0.078,0.033,0.172,0.2
1990-1999,0.222,0.211,0.027,0.047,0.089,0.039,0.136,0.027,0.1,0.101
2000-2009,0.296,0.314,0.002,0.004,0.12,0.074,0.098,0.003,0.008,0.081
2010-2019,0.359,0.326,0.003,0.004,0.085,0.07,0.094,0.003,0.011,0.046
2020-2029,0.269,0.388,0.015,0.015,0.164,0.06,0.045,0.0,0.015,0.03
Total,0.175,0.132,0.01,0.034,0.056,0.052,0.054,0.015,0.23,0.243
