,0,1,2,3,4,5,6,7,8,9
1920-1929,0,0,0,0,0,1,0,0,2,6
1930-1939,0,0,0,0,0,2,0,0,3,5
1940-1949,0,0,0,0,0,0,0,0,1,0
1950-1959,2,0,1,1,2,0,0,0,1,2
1960-1969,6,11,133,215,121,84,53,114,183,100
1970-1979,20,16,364,366,232,217,133,296,211,78
1980-1989,116,50,560,385,212,352,193,401,298,131
1990-1999,252,246,206,222,191,198,244,163,209,160
2000-2009,465,500,18,43,228,160,184,11,30,150
2010-2019,841,765,9,23,208,173,230,10,28,115
2020-2029,18,26,1,1,11,4,3,0,1,2
Total,1720,1614,1292,1256,1205,1191,1040,995,967,749
